Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,350993000.0,100000.0,200000.0,400000.0,0.0,0.0,0.0,0.0
Revenue Growth,3508.93,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,242820000.0,215522000.0,195760000.0,189201000.0,128675000.0,94993000.0,61003000.0,0.0
Gross Profit,108173000.0,-215422000.0,-195560000.0,-188801000.0,-128675000.0,-94993000.0,-61003000.0,0.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,34052000.0,33349000.0,33395000.0,28750000.0,26396000.0,17840000.0,14549000.0,0.0
Operating Expenses,35329000.0,35135000.0,34544000.0,29798000.0,27199000.0,18461000.0,14888000.0,0.0
Operating Income,92926000.0,31259000.0,34519000.0,-29403000.0,-4025000.0,5522000.0,-6479000.0,0.0
Interest Expense,48817000.0,42469000.0,42923000.0,36098000.0,25109000.0,20319000.0,16110000.0,0.0
Earnings before Tax,96555000.0,37870000.0,36486000.0,-31469000.0,-5039000.0,106000.0,-7277000.0,0.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,92926000.0,31259000.0,34519000.0,-29403000.0,-4025000.0,5522000.0,-6479000.0,0.0
Preferred Dividends,7604000.0,9794000.0,13897000.0,10848000.0,0.0,0.0,0.0,0.0
Net Income Com,92926000.0,31259000.0,34519000.0,-29403000.0,-4025000.0,5522000.0,-6479000.0,0.0
EPS,0.79,0.23,0.29,-0.61,-0.28,-0.1,-0.51,0.0
EPS Diluted,0.79,0.23,0.29,-0.61,-0.28,-0.1,-0.51,0.0
Weighted Average Shs Out,103401000.0,89537714.0,70637185.0,66307972.0,54086345.0,42364125.0,25046664.0,0.0
Weighted Average Shs Out (Dil),103807000.0,90003559.0,70852548.0,66307972.0,54086345.0,42364125.0,25046664.0,0.0
Dividend per Share,1.53042665716,1.56667138018,1.65754095393,0.0935030858733,0.0,0.0,0.0,0.0
Gross Margin,0.308191331451,-2154.22,-977.8,-472.0025,0.0,0.0,0.0,0.0
EBITDA Margin,0.754166037499,1867.23,830.88,229.17,0.0,0.0,0.0,0.0
EBIT Margin,0.264751718695,312.59,172.595,-73.5075,0.0,0.0,0.0,0.0
Profit Margin,0.264751718695,312.59,172.595,-73.5075,0.0,0.0,0.0,0.0
Free Cash Flow margin,0.563455681452,1625.62,677.115,304.2675,0.0,0.0,0.0,0.0
EBITDA,264707000.0,186723000.0,166176000.0,91668000.0,91321000.0,79722000.0,39035000.0,0.0
EBIT,92926000.0,31259000.0,34519000.0,-29403000.0,-4025000.0,5522000.0,-6479000.0,0.0
Consolidated Income,92926000.0,31259000.0,34519000.0,-29403000.0,-4025000.0,5522000.0,-6479000.0,0.0
Earnings Before Tax Margin,0.27509095623,378.7,182.43,-78.6725,0.0,0.0,0.0,0.0
Net Profit Margin,0.264751718695,312.59,172.595,-73.5075,0.0,0.0,0.0,0.0
