Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,156942000.0,179081000.0,179000000.0,0.0,170000000.0,0.0,143000000.0,0.0,119000000.0,0.0,98000000.0,0.0,0.0
Revenue Growth,-0.123625621925274,0.000452513966480447,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,0.0,0.0
Cost of Revenue,79220000.0,77189000.0,160000000.0,77293000.0,146000000.0,53695000.0,120000000.0,50946000.0,98000000.0,40827000.0,80000000.0,38128000.0,37885000.0
Gross Profit,77722000.0,101892000.0,19000000.0,-77293000.0,24000000.0,-53695000.0,23000000.0,-50946000.0,21000000.0,-40827000.0,18000000.0,-38128000.0,-37885000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,11404000.0,13453000.0,13000000.0,13272000.0,13000000.0,12612000.0,13000000.0,10715000.0,11000000.0,7854000.0,8000000.0,7037000.0,8395000.0
Operating Expenses,107181000.0,122978000.0,29000000.0,113222000.0,28000000.0,93601000.0,23000000.0,67189000.0,18000000.0,54316000.0,14000000.0,52539000.0,53391000.0
Operating Income,-29459000.0,-21086000.0,-10000000.0,-20992000.0,-4000000.0,-4273000.0,0000000.0,962000.0,3000000.0,3107000.0,4000000.0,5354000.0,2381000.0
Interest Expense,0.0,0.0,2000000.0,0.0,1000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,67000.0,61000.0
Earnings before Tax,-31959000.0,-23342000.0,-23000000.0,-21563000.0,-22000000.0,-4453000.0,-4000000.0,0.0,1000000.0,0.0,3000000.0,0.0,0.0
Income Tax Expense,9000.0,90000.0,0000000.0,66000.0,0000000.0,43000.0,0000000.0,0.0,000000.0,169000.0,0000000.0,36000.0,9000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,-31968000.0,-23432000.0,-23000000.0,-21629000.0,-22000000.0,-4496000.0,-4000000.0,703000.0,1000000.0,2712000.0,3000000.0,4786000.0,2026000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,-31968000.0,-23432000.0,-23000000.0,-21629000.0,-22000000.0,-4496000.0,-4000000.0,703000.0,1000000.0,2712000.0,3000000.0,4786000.0,2026000.0
EPS,-2.62,-2.32,-2.32,-2.0,-2.00,-0.4,-0.40,0.07,0.07,0.32,0.32,0.55,0.22
EPS Diluted,-2.62,-2.32,-2.32,-2.0,-2.00,-0.4,-0.40,0.07,0.07,0.31,0.31,0.54,0.21
Weighted Average Shs Out,12186000.0,10121000.0,10000000.0,10791000.0,11000000.0,11264000.0,11000000.0,9870000.0,10000000.0,8573000.0,9000000.0,8726000.0,9242000.0
Weighted Average Shs Out (Dil),12186000.0,10121000.0,10000000.0,10791000.0,11000000.0,11264000.0,11000000.0,10263000.0,10000000.0,8762000.0,9000000.0,8868000.0,9428000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Gross Margin,0.495227536287,0.568971582692,0.10614525139665,0.0,0.14117647058824,0.0,0.16083916083916,0.0,0.17647058823529,0.0,0.18367346938776,0.0,0.0
EBITDA Margin,-0.100973608085,-0.0320860392783,-0.033519553072626,0.0,-0.041176470588235,0.0,0.041958041958042,0.0,0.067226890756303,0.0,0.091836734693878,0.0,0.0
EBIT Margin,-0.187706286399,-0.117745601153,-0.11731843575419,0.0,-0.12352941176471,0.0,-0.027972027972028,0.0,0.0084033613445378,0.0,0.030612244897959,0.0,0.0
Profit Margin,-0.203693084069,-0.130845818373,-0.12849162011173,0.0,-0.12941176470588,0.0,-0.027972027972028,0.0,0.0084033613445378,0.0,0.030612244897959,0.0,0.0
Free Cash Flow margin,-0.0212052860292,-0.0331693479487,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBITDA,-15847000.0,-5746000.0,-6000000.0,-6472000.0,-7000000.0,5589000.0,6000000.0,8242000.0,8000000.0,8894000.0,9000000.0,11089000.0,8272000.0
EBIT,-29459000.0,-21086000.0,-21000000,-20992000.0,-21000000,-4273000.0,-4000000,962000.0,1000000,3107000.0,3000000,5354000.0,2381000.0
Consolidated Income,-31968000.0,-23432000.0,-23000000.0,-21629000.0,-22000000.0,-4496000.0,-4000000.0,703000.0,1000000.0,2712000.0,3000000.0,4786000.0,2026000.0
Earnings Before Tax Margin,-0.203635738043,-0.130343252495,-0.12849162011173,0.0,-0.12941176470588,0.0,-0.027972027972028,0.0,0.0084033613445378,0.0,0.030612244897959,0.0,0.0
Net Profit Margin,-0.203693084069,-0.130845818373,-0.12849162011173,0.0,-0.12941176470588,0.0,-0.027972027972028,0.0,0.0084033613445378,0.0,0.030612244897959,0.0,0.0
