Date,2018-12-31,2017-12-31
Revenue,8274000.0,4245000.0
Revenue Growth,0.949116607773852,
Cost of Revenue,5332000.0,1713000.0
Gross Profit,2942000.0,2532000.0
R&D Expenses,4339000.0,5786000.0
SG&A Expense,18545000.0,13670000.0
Operating Expenses,20724000.0,19456000.0
Operating Income,-17782000.0,-16924000.0
Interest Expense,1802000.0,4558000.0
Earnings before Tax,-21092000.0,-21334000.0
Income Tax Expense,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-21092000.0,-21334000.0
Preferred Dividends,8823000.0,5893000.0
Net Income Com,-29915000.0,-27227000.0
EPS,-101.41,-93.26
EPS Diluted,-101.41,-93.26
Weighted Average Shs Out,10641811.0,
Weighted Average Shs Out (Dil),294988.0,291963.0
Dividend per Share,0.0,0.0
Gross Margin,0.3556,0.5965
EBITDA Margin,-2.181,-3.773
EBIT Margin,-2.3314,-3.9519
Profit Margin,-3.616,-6.414
Free Cash Flow margin,-2.415,-3.8796
EBITDA,-18042000.0,-16015000.0
EBIT,-19290000.0,-16776000.0
Consolidated Income,-21092000.0,-21334000.0
Earnings Before Tax Margin,-2.5492,-5.0257
Net Profit Margin,-2.5492,-5.0257
