Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31,2011-12,2010-12,2009-12
Revenue,8010000000.0,7491000000.0,7331000000.0,1378939000.0,1073222000.0,6685000000.0,608447000.0,7320000000.0,565929000.0,6729000000.0,5715000000.0,470000000.0
Revenue Growth,0.0692831397677213,0.0218251261765107,4.31640630948867,0.284859050597174,-0.839458189977562,9.98698818467344,-0.916878825136612,11.9344847145137,-0.915897012929113,0.17742782152231,11.1595744680851,
Cost of Revenue,5772000000.0,5682000000.0,6450000000.0,427589000.0,639079000.0,3048000000.0,361624000.0,3526000000.0,313759000.0,4672000000.0,3984000000.0,266000000.0
Gross Profit,2238000000.0,1809000000.0,881000000.0,951350000.0,434143000.0,3637000000.0,246823000.0,3794000000.0,252170000.0,2057000000.0,1731000000.0,204000000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,
SG&A Expense,610000000.0,630000000.0,684000000.0,202796000.0,104332000.0,,67579000.0,,40380000.0,,,
Operating Expenses,1205000000.0,512000000.0,498000000.0,969266000.0,102240000.0,2280000000.0,68345000.0,2254000000.0,40380000.0,402000000.0,406000000.0,102000000.0
Operating Income,1033000000.0,1297000000.0,383000000.0,409673000.0,331903000.0,1357000000.0,178478000.0,1540000000.0,211790000.0,1655000000.0,1325000000.0,102000000.0
Interest Expense,822000000.0,916000000.0,811000000.0,185680000.0,116778000.0,387000000.0,64739000.0,405000000.0,14884000.0,426000000.0,364000000.0,61000000.0
Earnings before Tax,981000000.0,439000000.0,-1357000000.0,429947000.0,346372000.0,,181601000.0,,197626000.0,,,
Income Tax Expense,6000000.0,-80000000.0,1000000.0,576000.0,5223000.0,000000.0,3214000.0,000000.0,3289000.0,000000.0,2000000.0,000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,
Net Income,871000000.0,431000000.0,-1449000000.0,398060000.0,336025000.0,1067000000.0,178455000.0,1232000000.0,194337000.0,1378000000.0,1085000000.0,152000000.0
Preferred Dividends,0.0,517000000.0,384000000.0,-147507000.0,-40681000.0,,-8481000.0,,-5070000.0,,,
Net Income Com,871000000.0,431000000.0,-1449000000.0,398060000.0,336025000.0,1067000000.0,178455000.0,1232000000.0,194337000.0,1378000000.0,1085000000.0,152000000.0
EPS,0.9,-0.17,0.25,1.01,1.01,1.45,1.14,1.89,0.0,3.69,2.66,2.88
EPS Diluted,0.9,-0.17,0.25,1.01,1.01,1.45,1.14,1.89,0.0,3.69,2.66,2.88
Weighted Average Shs Out,947171000.0,592519000.0,567275000.0,201273800.0,0.0,421000000.0,0.0,342000000.0,0.0,290000000.0,214000000.0,53000000.0
Weighted Average Shs Out (Dil),947171000.0,592519000.0,567275000.0,201273800.0,0.0,421000000.0,0.0,342000000.0,0.0,290000000.0,214000000.0,53000000.0
Dividend per Share,0.2238244203,0.155269282504,0.153364770173,2.66659644723,0.0,,0.0,,0.0,,,
Gross Margin,0.279400749064,0.241489787745,0.120174601009,0.689914492229,0.404523015741,0.54405385190726,0.405660640943,0.51830601092896,0.445585930391,0.3056917818398,0.30288713910761,0.43404255319149
EBITDA Margin,0.341198501873,0.402749966627,0.284408675488,0.525353913407,0.585230269227,0.33133881824981,0.565365594703,0.32117486338798,0.614845678522,0.35889433794026,0.35608048993876,0.31276595744681
EBIT Margin,0.128963795256,0.173141102657,0.052243895785,0.297092909839,0.309258475879,0.21750186985789,0.293333683953,0.22363387978142,0.374234223728,0.26809332738891,0.25389326334208,0.4531914893617
Profit Margin,0.108739076155,0.0575357095181,-0.197653798936,0.288671217509,0.313099246941,0.15961106955871,0.293295882797,0.16830601092896,0.343394666115,0.2047852578392,0.18985126859143,0.32340425531915
Free Cash Flow margin,0.058177278402,0.266186089975,-0.0182785431728,-0.165517111344,-0.460889732041,,-0.0532010183303,,-0.035018527059,,,
EBITDA,2733000000.0,3017000000.0,2085000000.0,724431000.0,628082000.0,2215000000.0,343995000.0,2351000000.0,347959000.0,2415000000.0,2035000000.0,147000000.0
EBIT,1033000000.0,1297000000.0,383000000.0,409673000.0,331903000.0,1454000000,178478000.0,1637000000,211790000.0,1804000000,1451000000,213000000
Consolidated Income,871000000.0,431000000.0,-1449000000.0,398060000.0,336025000.0,1067000000.0,178455000.0,1232000000.0,194337000.0,1378000000.0,1085000000.0,152000000.0
Earnings Before Tax Margin,0.122471910112,0.0586036577226,-0.185104351385,0.311795518148,0.322740309088,0,0.298466423534,0,0.349206349206,0,0,0
Net Profit Margin,0.108739076155,0.0575357095181,-0.197653798936,0.288671217509,0.313099246941,0.15961106955871,0.293295882797,0.16830601092896,0.343394666115,0.2047852578392,0.18985126859143,0.32340425531915
