Date,2018-12-31,2017-12-31
Cash and cash equivalents,42189000.0,17937000.0
Short-term investments,0.0,0.0
Cash and short-term investments,42189000.0,17937000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,42937000.0,17955000.0
Property Plant & Equipment Net,1511000.0,1729000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,1611000.0,1832000.0
Total assets,44548000.0,19787000.0
Payables,1863000.0,994000.0
Short-term debt,0.0,0.0
Total current liabilities,3773000.0,2225000.0
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,349000.0,510000.0
Total liabilities,4122000.0,2735000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-49088000.0,-29920000.0
Total shareholders equity,-52055000.0,-29642000.0
Investments,0.0,0.0
Net Debt,-42189000.0,-17937000.0
Other Assets,748000.0,18000.0
Other Liabilities,1910000.0,1231000.0
