Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Depreciation & Amortization,66803473.2272,55004383.3132,364000000.0,35465946.7243,246000000.0,22690340.4714,147000000.0,13718114.3042,85000000.0,000000.0
Stock-based compensation,15789725.0362,45187877.8718,299000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0
Operating Cash Flow,92214761.2156,3869709.7944,117000000.0,-89757091.4327,-789000000.0,-48094284.3938,-312000000.0,-53107039.0701,-329000000.0,000000.0
Capital Expenditure,-374800289.4356,-215664298.6699,-1499000000.0,-104413390.9287,-746000000.0,-63909258.974,-426000000.0,-31588472.7155,-215000000.0,000000.0
Acquisitions and disposals,-22867149.0593,-49555622.7328,-27000000.0,-7669834.4132,-9000000.0,-22507163.7652,-8000000.0,-19486438.4889,-3000000.0,000000.0
Investment purchases and sales,247194500.7236,-344917623.942,-2393000000,-8134053.2757,-76000000,1799260.5146,-10000000,0.0,0,0
Investing Cash flow,-178140810.4197,-620605048.3676,-4206000000.0,-121503815.6947,-844000000.0,-85858111.2309,-557000000.0,-51553438.8118,-319000000.0,000000.0
Issuance (repayment) of debt,81194934.877,105644498.1862,-1203000000.0,19850827.9338,-602000000.0,33656293.3292,-324000000.0,7574588.3113,-73000000.0,000000.0
Issuance (buybacks) of shares,-919536.903,473132557.4365,,0.0,,0.0,,0.0,,
Dividend payments,0.0,0.0,,0.0,,0.0,,0.0,,
Financing Cash Flow,80629377.7135,563914600.9674,2420000000.0,605848236.1411,4110000000.0,139475735.634,905000000.0,126259121.7307,782000000.0,000000.0
Effect of forex changes on cash,7695947.9016,-7291565.9008,-19000000.0,22844780.4176,159000000.0,5459251.271,35000000.0,598320.9558,4000000.0,000000.0
Net cash flow / Change in cash,2399276.411,-60112303.5067,-1687000000.0,417432109.4312,2637000000.0,10982591.2802,71000000.0,21598643.8489,137000000.0,000000.0
Free Cash Flow,-282585528.22,-211794588.8755,-1382000000.0,-194170482.3614,-1534000000.0,-112003543.3677,-738000000.0,-84695511.7856,-544000000.0,000000.0
Net Cash/Marketcap,,,,,,,,,,
