Date,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2006-12,2005-12,2004-12,2003-12,2002-12
Revenue,31864000.0,33023000.0,40921000.0,42440000.0,61000000.0,49000000.0,51000000.0,46000000.0,39000000.0
Revenue Growth,-0.0350967507494776,-0.193006036020625,-0.0357917059377945,-0.304262295081967,0.244897959183673,-0.0392156862745098,0.108695652173913,0.179487179487179,
Cost of Revenue,26578000.0,28694000.0,34306000.0,36030000.0,30000000.0,20000000.0,18000000.0,21000000.0,20000000.0
Gross Profit,5286000.0,4329000.0,6615000.0,6410000.0,31000000.0,29000000.0,32000000.0,26000000.0,19000000.0
R&D Expenses,31884000.0,21687000.0,16454000.0,7365000.0,14000000.0,11000000.0,7000000.0,6000000.0,8000000.0
SG&A Expense,13163000.0,11566000.0,11185000.0,9095000.0,19000000.0,16000000.0,14000000.0,13000000.0,23000000.0
Operating Expenses,45047000.0,33253000.0,27639000.0,16460000.0,33000000.0,27000000.0,21000000.0,19000000.0,34000000.0
Operating Income,-39761000.0,-28924000.0,-21024000.0,-10050000.0,-2000000.0,2000000.0,12000000.0,6000000.0,-15000000.0
Interest Expense,8303000.0,7947000.0,7446000.0,6961000.0,,,,,
Earnings before Tax,-47786000.0,-36700000.0,-28447000.0,-9911000.0,-1000000.0,3000000.0,11000000.0,5000000.0,000000.0
Income Tax Expense,7000.0,3000.0,3000.0,1000.0,0000000.0,0000000.0,0000000.0,0000000.0,000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,,,,,
Net Income,-47793000.0,-36703000.0,-28450000.0,-9912000.0,-1000000.0,3000000.0,10000000.0,5000000.0,-17000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,,,,,
Net Income Com,-47793000.0,-36703000.0,-28450000.0,-9912000.0,-1000000.0,3000000.0,10000000.0,5000000.0,-17000000.0
EPS,-1.64,-1.65,-1.52,-0.99,-0.02,0.06,0.28,0.14,-0.49
EPS Diluted,-1.64,-1.65,-1.52,-0.99,-0.02,0.06,0.26,0.14,-0.49
Weighted Average Shs Out,29070849.0,22282599.0,18709292.0,10043640.0,45000000.0,41000000.0,38000000.0,36000000.0,35000000.0
Weighted Average Shs Out (Dil),29070849.0,22282599.0,18709292.0,10043640.0,45000000.0,42000000.0,40000000.0,38000000.0,35000000.0
Dividend per Share,0.0,0.0,0.0,0.0,,,,,
Gross Margin,0.165892543309,0.131090452109,0.161652941033,0.151036757776,0.50819672131148,0.59183673469388,0.62745098039216,0.56521739130435,0.48717948717949
EBITDA Margin,-1.17935601306,-0.792811071072,-0.44468610249,-0.153675777568,0.016393442622951,0.081632653061224,0.27450980392157,0.21739130434783,-0.25641025641026
EBIT Margin,-1.24783454682,-0.875874390576,-0.513770435718,-0.236804901037,-0.016393442622951,0.061224489795918,0.19607843137255,0.10869565217391,-0.43589743589744
Profit Margin,-1.49990584986,-1.11143748297,-0.695242051758,-0.233553251649,-0.016393442622951,0.061224489795918,0.19607843137255,0.10869565217391,-0.43589743589744
Free Cash Flow margin,-1.23870198343,-0.924900826697,-0.529996823147,-0.343355325165,,,,,
EBITDA,-37579000.0,-26181000.0,-18197000.0,-6522000.0,1000000.0,4000000.0,14000000.0,10000000.0,-10000000.0
EBIT,-39761000.0,-28924000.0,-21024000.0,-10050000.0,-1000000,3000000,10000000,5000000,-17000000
Consolidated Income,-47793000.0,-36703000.0,-28450000.0,-9912000.0,-1000000.0,3000000.0,10000000.0,5000000.0,-17000000.0
Earnings Before Tax Margin,-1.49968616621,-1.11134663719,-0.695168739767,-0.233529688973,-0.016393442622951,0.061224489795918,0.2156862745098,0.10869565217391,0
Net Profit Margin,-1.49990584986,-1.11143748297,-0.695242051758,-0.233553251649,-0.016393442622951,0.061224489795918,0.19607843137255,0.10869565217391,-0.43589743589744
