Date,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,,15857000.0,,16630000.0,,15694000.0,,5145000.0,,4475000.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Gross Profit,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
R&D Expenses,,5281000.0,,4545000.0,,4027000.0,,3569000.0,,0.0,0.0
SG&A Expense,,71471000.0,,69526000.0,,69089000.0,,64540000.0,,59935000.0,64208000.0
Operating Expenses,,76752000.0,,74071000.0,,73116000.0,,68109000.0,,59935000.0,64846000.0
Operating Income,,47081000.0,,35746000.0,,44154000.0,,40789000.0,,37504000.0,27808000.0
Interest Expense,,11731000.0,,9590000.0,,8429000.0,,10426000.0,,12750000.0,14863000.0
Earnings before Tax,,47081000.0,,35746000.0,,44154000.0,,40789000.0,,37504000.0,27808000.0
Income Tax Expense,,12182000.0,,9606000.0,,15147000.0,,13351000.0,,13258000.0,-5654000.0
Net Income - Non-Controlling int,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,33000000.0,34899000.0,35000000.0,26069000.0,26000000.0,29007000.0,29000000.0,27611000.0,28000000.0,24570000.0,33462000.0
Preferred Dividends,,0.0,,320000.0,,574000.0,,944000.0,,2815000.0,3111000.0
Net Income Com,33000000.0,34899000.0,35000000.0,26069000.0,26000000.0,29007000.0,29000000.0,27611000.0,28000000.0,24570000.0,33462000.0
EPS,0.79,0.84,0.84,0.63,0.63,0.7,0.70,0.66,0.66,0.55,0.76
EPS Diluted,0.78,0.84,0.84,0.62,0.62,0.7,0.70,0.66,0.66,0.55,0.76
Weighted Average Shs Out,41000000.0,40909480.0,41000000.0,40469524.0,40000000.0,40006746.0,40000000.0,39468494.0,39000000.0,38556508.0,0.0
Weighted Average Shs Out (Dil),42000000.0,41124913.0,41000000.0,40725048.0,41000000.0,40212593.0,40000000.0,39629356.0,40000000.0,38602386.0,0.0
Dividend per Share,,0.191076392064,,0.170730308286,,0.151096946173,,0.121627008019,,0.0711614043754,0.0
Gross Margin,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBITDA Margin,,3.24947972504,,2.39675285628,,3.02134573722,,8.20621963071,,8.68379888268,0.0
EBIT Margin,,2.96909882071,,2.14948887553,,2.8134318848,,7.92789115646,,8.38078212291,0.0
Profit Margin,,2.20085766538,,1.56758869513,,1.84828596916,,5.36656948494,,5.4905027933,0.0
Free Cash Flow margin,,2.15431670556,,1.95886951293,,1.46839556518,,4.81924198251,,6.60089385475,0.0
EBITDA,,51527000.0,,39858000.0,,47417000.0,,42221000.0,,38860000.0,29418000.0
EBIT,33000000,47081000.0,35000000,35746000.0,26000000,44154000.0,29000000,40789000.0,28000000,37504000.0,27808000.0
Consolidated Income,33000000.0,34899000.0,35000000.0,26069000.0,26000000.0,29007000.0,29000000.0,27611000.0,28000000.0,24570000.0,33462000.0
Earnings Before Tax Margin,,2.96909882071,,2.14948887553,,2.8134318848,,7.92789115646,,8.38078212291,0.0
Net Profit Margin,,2.20085766538,,1.56758869513,,1.84828596916,,5.36656948494,,5.4905027933,0.0
