Date,2019-02-02,2018-02-03,2018-01,2017-01-28,2017-01,2016-01-30,2016-01,2015-01-31,2015-01,2014-02-01,2014-01,2013-02-02,2012-01-28
Depreciation & Amortization,10219000.0,12496000.0,12000000.0,12369000.0,12000000.0,12156000.0,12000000.0,11901000.0,12000000.0,13297000.0,13000000.0,18186000.0,20276000.0
Stock-based compensation,1101000.0,1164000.0,1000000.0,676000.0,1000000.0,1637000.0,2000000.0,2318000.0,2000000.0,2776000.0,3000000.0,2308000.0,2770000.0
Operating Cash Flow,-21508000.0,-6745000.0,-7000000.0,9915000.0,10000000.0,5382000.0,5000000.0,19001000.0,19000000.0,25054000.0,25000000.0,-17441000.0,-25880000.0
Capital Expenditure,4294000.0,5158000.0,-5000000.0,10327000.0,-10000000.0,26082000.0,-26000000.0,20270000.0,-20000000.0,8544000.0,-9000000.0,3623000.0,11742000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,-99000.0,0.0,0,0.0,3000000,0.0,15000000,-18480000.0,-1000000,-24484000.0,-16000000,0.0,-35713000.0
Investing Cash flow,9035000.0,-5158000.0,-5000000.0,-6408000.0,-6000000.0,-11095000.0,-11000000.0,-22244000.0,-22000000.0,-24722000.0,-25000000.0,17815000.0,29515000.0
Issuance (repayment) of debt,-9100000.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-350000.0,-0.0
Issuance (buybacks) of shares,-99000.0,-23077000.0,,-35006000.0,,-31506000.0,,-37245000.0,,-41074000.0,,-40739000.0,-40782000.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-6426000.0
Financing Cash Flow,-365000.0,-26000.0,-0000000.0,-7000.0,-0000000.0,-26000.0,-0000000.0,-586000.0,-1000000.0,3000.0,0000000.0,-417000.0,-6565000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-12838000.0,-11929000.0,-12000000.0,35006000.0,4000000.0,31506000.0,-6000000.0,37245000.0,-4000000.0,41074000.0,0000000.0,40739000.0,40782000.0
Free Cash Flow,-25802000.0,-11903000.0,-12000000.0,-412000.0,-0000000.0,-20700000.0,-21000000.0,-1269000.0,-1000000.0,16510000.0,17000000.0,-21064000.0,-37622000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
