Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,71311000.0,370414.0,869058.0,32000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,71311000.0,370414.0,869058.0,32000.0
Receivables,225366000.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,356662000.0,391710.0,930350.0,32000.0
Property Plant & Equipment Net,176178000.0,0.0,0.0,14152000.0
Goodwill and Intangible Assets,91131000.0,0.0,0.0,3020000.0
Long-term investments,3900000.0,151057980.0,150100471.0,0.0
Tax assets,11215000.0,0.0,0.0,
Total non-current assets,282566000.0,151057980.0,150100471.0,
Total assets,639228000.0,151449690.0,151030821.0,137000.0
Payables,158075000.0,0.0,0.0,41710000.0
Short-term debt,32580000.0,0.0,0.0,0.0
Total current liabilities,364563000.0,235030.0,19380.0,113000.0
Long-term debt,295727000.0,0.0,0.0,0.0
Total debt,328307000.0,0.0,0.0,
Deferred revenue,62234000.0,0.0,0.0,
Tax Liabilities,0.0,148580.0,19380.0,
Deposit Liabilities,0.0,0.0,0.0,
Total non-current liabilities,341639000.0,0.0,0.0,
Total liabilities,770406000.0,146449689.0,146030820.0,113000.0
Other comprehensive income,4751000,4808346,5011571,
Retained earnings (deficit),-135931000.0,191127.0,-12092.0,-1000.0
Total shareholders equity,-131178000.0,5000001.0,5000001.0,24000.0
Investments,3900000.0,151057980.0,150100471.0,0.0
Net Debt,256996000.0,-370414.0,-869058.0,-32000.0
Other Assets,0.0,0.0,0.0,104691.0
Other Liabilities,64204000.0,146214659.0,146011440.0,-41597000.0
