Date,2019-12-31,2018-12-31,2018-02-15,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,273483000.0,237296000.0,0.0,283570000.0,257157000.0,299173000.0,83369000.0,65593000.0,54924000.0,45698000.0,15912000.0,10908000.0
Stock-based compensation,19481000.0,17028000.0,0.0,15079000.0,14144000.0,8421000.0,7559000.0,6454000.0,4212000.0,2660000.0,765000.0,0.0
Operating Cash Flow,288011000.0,214626000.0,0.0,292959000.0,219607000.0,174856000.0,63168000.0,41547000.0,42821000.0,32082000.0,7619000.0,4538000.0
Capital Expenditure,0.0,0.0,0.0,-347931000.0,0.0,0.0,0.0,0.0,0.0,0.0,-242156000.0,-15457000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,14893000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Investment purchases and sales,6226000.0,-47771000.0,0.0,0.0,0.0,-5128000.0,-3129000.0,-2756000.0,-1385000.0,0.0,0.0,0.0
Investing Cash flow,-316409000.0,-392333000.0,0.0,-333038000.0,-524897000.0,-1797699000.0,-246361000.0,-424042000.0,-423470000.0,-130604000.0,-242156000.0,-15457000.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-55866000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-41401000.0,3924000.0
Issuance (buybacks) of shares,0.0,-50000000.0,0.0,336527000.0,1366566000.0,380461000.0,194339000.0,199786000.0,189413000.0,97303000.0,256842000.0,6501000.0
Dividend payments,-157825000.0,-157003000.0,-0.0,-158544000.0,-117819000.0,-75875000.0,-34966000.0,-29607000.0,-23199000.0,-16704000.0,-6476000.0,-1000000.0
Financing Cash Flow,18465000.0,144618000.0,0.0,33167000.0,334754000.0,1658641000.0,170590000.0,393947000.0,385848000.0,63352000.0,279718000.0,8800000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-9933000.0,-33089000.0,0.0,-6912000.0,29464000.0,35798000.0,-12603000.0,11452000.0,5199000.0,-35170000.0,45181000.0,-2119000.0
Free Cash Flow,288011000.0,214626000.0,0.0,-54972000.0,219607000.0,174856000.0,63168000.0,41547000.0,42821000.0,32082000.0,-234537000.0,-10919000.0
Net Cash/Marketcap,0.0,0.0,0.0,-0.4184,0.0,0.0,0.0,0.0,0.0,0.0,-0.4184,-0.4184
