Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Revenue,54087000000.0,54087000000.0,29054000000.0,29054000000.0,9151000000.0,21827000000.0,10486000000.0,34292000000.0,18088000000.0,51158000000.0,16639000000.0,0.0,10918000000.0,7838000000.0
Revenue Growth,0,0.861602533214015,0,2.17495355698831,-0.580748614101801,1.08153728781232,-0.694214394027762,0.895842547545334,-0.646428711052035,2.07458380912314,0.0,-1,0.392957387088543,0.0
Cost of Revenue,44932000000.0,41658000000.0,24053000000.0,20801000000.0,7834000000.0,15394000000.0,9479000000.0,27029000000.0,17261000000.0,45540000000.0,15742000000.0,0.0,35000000.0,-9000000.0
Gross Profit,9155000000.0,12429000000.0,5001000000.0,8253000000.0,1317000000.0,6433000000.0,1007000000.0,7263000000.0,827000000.0,5618000000.0,897000000.0,0.0,10883000000.0,7847000000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
SG&A Expense,664000000.0,,434000000.0,,110000000.0,,103000000.0,,118000000.0,,123000000.0,0.0,90000000.0,72000000.0
Operating Expenses,3753000000.0,6596000000.0,2604000000.0,4936000000.0,502000000.0,3818000000.0,477000000.0,4665000000.0,460000000.0,3143000000.0,337000000.0,0.0,10447000000.0,7546000000.0
Operating Income,5402000000.0,5833000000.0,2397000000.0,3317000000.0,815000000.0,2615000000.0,530000000.0,2598000000.0,367000000.0,2475000000.0,560000000.0,0.0,436000000.0,301000000.0
Interest Expense,1709000000.0,1709000000.0,1365000000.0,1365000000.0,0.0,1317000000.0,0.0,1291000000.0,0.0,860000000.0,0.0,0.0,0.0,0.0
Earnings before Tax,4044000000.0,,1005000000.0,,736000000.0,,418000000.0,,325000000.0,,504000000.0,0.0,347000000.0,356000000.0
Income Tax Expense,5000000.0,5000000.0,-1496000000.0,-1496000000.0,27000000.0,-186000000.0,21000000.0,-123000000.0,25000000.0,355000000.0,30000000.0,0.0,25000000.0,8000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,3025000000.0,3025000000.0,2081000000.0,1988000000.0,705000000.0,-62000000.0,393000000.0,1046000000.0,291000000.0,1119000000.0,463000000.0,0.0,313000000.0,346000000.0
Preferred Dividends,0.0,,990000000.0,,393000000.0,,288000000.0,,181000000.0,,124000000.0,0.0,-54000000.0,-48000000.0
Net Income Com,3025000000.0,3025000000.0,2081000000.0,1988000000.0,705000000.0,-62000000.0,393000000.0,1046000000.0,291000000.0,1119000000.0,463000000.0,0.0,313000000.0,346000000.0
EPS,0.0,2.59,0.93,0.94,0.98,-1.37,0.42,-0.06,0.51,1.18,3.25,0.0,0.0,0.0
EPS Diluted,0.0,2.59,0.93,0.93,0.98,-1.37,0.42,-0.07,0.51,1.18,3.25,0.0,0.0,0.0
Weighted Average Shs Out,0.0,1167000000.0,1032700000.0,1033000000.0,304500000.0,758000000.0,250900000.0,649000000.0,212900000.0,497000000.0,103800000.0,0.0,0.0,31.7
Weighted Average Shs Out (Dil),0.0,1167000000.0,1032700000.0,1033000000.0,304500000.0,758000000.0,250900000.0,650000000.0,212900000.0,499000000.0,103800000.0,0.0,0.0,31.7
Dividend per Share,0.0,,0.416384235499,,0.0164203612479,,0.0119569549621,,0.018788163457,,0.125240847784,0.0,0.0,0.0
Gross Margin,0.169264333389,0.22979643907039,0.172127762098,0.28405727266469,0.14391869741,0.29472671461951,0.0960328056456,0.21179867024379,0.0457209199469,0.10981664646781,0.053909489753,0.0,0.996794284668,1.00114825211
