Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,313590000.0,364302000.0,364000000.0,128399000.0,128000000.0,711639000.0,712000000.0,1111254000.0,1111000000.0,873255000.0,873000000.0,624096000.0,377488000.0
Revenue Growth,-0.139203188563335,0.00082967032967033,1.83491304449412,0.0031171875,-0.820133522755217,-0.000507022471910112,-0.359282396283838,0.000228622862286229,0.272251518743093,0.000292096219931271,0.398823257960314,0.653286991904378,
Cost of Revenue,384889000.0,326178000.0,304000000.0,197044000.0,174000000.0,674918000.0,636000000.0,974809000.0,950000000.0,799705000.0,768000000.0,575408000.0,359822000.0
Gross Profit,-71299000.0,38124000.0,60000000.0,-68645000.0,-46000000.0,36721000.0,76000000.0,136445000.0,161000000.0,73550000.0,105000000.0,48688000.0,17666000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,26769000.0,26796000.0,27000000.0,20951000.0,25000000.0,33119000.0,33000000.0,38723000.0,39000000.0,26835000.0,38000000.0,10256000.0,9221000.0
Operating Expenses,26769000.0,26796000.0,,20951000.0,,33119000.0,,38723000.0,,26835000.0,,19375000.0,16863000.0
Operating Income,-98068000.0,11328000.0,,-89596000.0,,3602000.0,,97722000.0,,46715000.0,,29313000.0,803000.0
Interest Expense,30993000.0,19171000.0,,21339000.0,,12554000.0,,7394000.0,,10833000.0,,11055000.0,3371000.0
Earnings before Tax,0.0,-3636000.0,,-113406000.0,,-8907000.0,,89717000.0,,0.0,,17276000.0,-584000.0
Income Tax Expense,147000.0,71000.0,0000000.0,-191000.0,-0000000.0,504000.0,1000000.0,638000.0,1000000.0,386000.0,0000000.0,81000.0,101000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,-128543000.0,-6832000.0,-7000000.0,-72770000.0,-73000000.0,-9411000.0,-9000000.0,89079000.0,89000000.0,35170000.0,35000000.0,17195000.0,-685000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,-128543000.0,-6832000.0,-7000000.0,-72770000.0,-73000000.0,-9411000.0,-9000000.0,89079000.0,89000000.0,35170000.0,35000000.0,17195000.0,-685000.0
EPS,-4.14,-0.23,-0.23,-2.92,-2.92,-0.39,-0.39,3.7,3.70,0.92,0.92,,
EPS Diluted,-4.14,-0.23,-0.23,-2.92,-2.92,-0.39,-0.39,3.7,3.70,0.92,0.92,,
Weighted Average Shs Out,31037266.0,30132480.0,30000000.0,24870258.0,25000000.0,23973850.0,24000000.0,24070418.0,24000000.0,24015562.0,24000000.0,,
Weighted Average Shs Out (Dil),31037266.0,30132480.0,30000000.0,24870258.0,25000000.0,23973850.0,24000000.0,24070418.0,24000000.0,24015562.0,24000000.0,,
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.478856168346,,0.0,0.0
Gross Margin,-0.227363755222,0.104649439202,0.16483516483516,-0.534622543789,-0.359375,0.0516006008665,0.10674157303371,0.122784709886,0.14491449144914,0.0842251117944,0.12027491408935,0.078,0.0468
EBITDA Margin,-0.223725246341,0.10191544378,0.090659340659341,-0.482449240259,-0.53125,0.0467751205316,0.060393258426966,0.111130308642,0.11071107110711,0.0784192475279,0.077892325315006,0.06,0.026
EBIT Margin,-0.312726808891,0.0310950804552,-0.019230769230769,-0.697793596523,-0.5703125,0.00506155508622,-0.01123595505618,0.08793849111,0.081008100810081,0.0534952562539,0.040091638029782,0.0454,0.0074
Profit Margin,-0.409907841449,-0.0187536714045,-0.019230769230769,-0.566748962219,-0.5703125,-0.0132244016981,-0.012640449438202,0.0801607913222,0.08010801080108,0.0402746047833,0.040091638029782,0.028,-0.002
Free Cash Flow margin,0.107959437482,-0.0262172593068,,-0.473905560012,,0.0166531064205,,0.0074483421432,,0.041988880682,,-0.063,-0.0486
EBITDA,-70158000.0,37128000.0,33000000.0,-61946000.0,-68000000.0,33287000.0,43000000.0,123494000.0,123000000.0,68480000.0,68000000.0,37450000.0,9667000.0
EBIT,-98068000.0,11328000.0,-7000000,-89596000.0,-73000000,3602000.0,-8000000,97722000.0,90000000,46715000.0,35000000,28331000.0,2787000.0
Consolidated Income,-128543000.0,-6832000.0,-7000000.0,-72770000.0,-73000000.0,-9411000.0,-9000000.0,89079000.0,89000000.0,35170000.0,35000000.0,17195000.0,-685000.0
Earnings Before Tax Margin,0.0,-0.00998073027323,0,-0.883231177813,0,-0.0125161774439,0,0.0807349174896,0,0.0,0,0.0277,-0.0015
Net Profit Margin,-0.409907841449,-0.0187536714045,-0.019230769230769,-0.566748962219,-0.5703125,-0.0132244016981,-0.012640449438202,0.0801607913222,0.08010801080108,0.0402746047833,0.040091638029782,0.0276,-0.0018
