Date,2017-11-30,2017-11,2016-11-30,2016-11,2015-11-30,2015-11,2014-11,2013-11
Depreciation & Amortization,0.0,,0.0,,0.0,,,
Stock-based compensation,0.0,,0.0,,0.0,,,
Operating Cash Flow,674361.0,1000000.0,171453.0,0000000.0,-340347.0,-0000000.0,000000.0,000000.0
Capital Expenditure,0.0,,0.0,,0.0,,,
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,,
Investment purchases and sales,-71947464.0,70000000,-753239.0,-1000000,-61928.0,-200000000,0,0
Investing Cash flow,69425348.0,69000000.0,-753239.0,-1000000.0,-200061928.0,-200000000.0,000000.0,000000.0
Issuance (repayment) of debt,-366867.0,,29838.0,,-0.0,,,
Issuance (buybacks) of shares,-70686406.0,,-252937.0,,-836629.0,,,
Dividend payments,-0.0,,-0.0,,-0.0,,,
Financing Cash Flow,-70319539.0,-70000000.0,-29838.0,-0000000.0,201266836.0,201000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,,
Net cash flow / Change in cash,-219830.0,-0000000.0,-611624.0,-1000000.0,864561.0,1000000.0,000000.0,000000.0
Free Cash Flow,674361.0,1000000.0,171453.0,0000000.0,-340347.0,-0000000.0,000000.0,000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,,
