Date,2011-12-31
Depreciation & Amortization,11715000.0
Stock-based compensation,4324000.0
Operating Cash Flow,-50511000.0
Capital Expenditure,20395000.0
Acquisitions and disposals,-0.0
Investment purchases and sales,0.0
Investing Cash flow,-27145000.0
Issuance (repayment) of debt,-0.0
Issuance (buybacks) of shares,-3142000.0
Dividend payments,-0.0
Financing Cash Flow,85812000.0
Effect of forex changes on cash,0.0
Net cash flow / Change in cash,8156000.0
Free Cash Flow,-70906000.0
Net Cash/Marketcap,0.0
