Date,2018-12-31,2017-12-31,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,270884.0,428393.0,0000000.0,0000000.0,000000.0,000000.0,000000.0
Short-term investments,0.0,0.0,,,,,
Cash and short-term investments,270884.0,428393.0,,,,,
Receivables,0.0,0.0,,,,,
Inventories,0.0,0.0,,,,,
Total current assets,270884.0,470337.0,117000000.0,0000000.0,000000.0,000000.0,000000.0
Property Plant & Equipment Net,0.0,0.0,,,,,
Goodwill and Intangible Assets,0.0,0.0,0,0,0,0,0
Long-term investments,118165948.0,116588017.0,117000000.0,000000.0,000000.0,000000.0,000000.0
Tax assets,0.0,0.0,,,,,
Total non-current assets,118165948.0,116588017.0,112000000.0,000000.0,000000.0,000000.0,000000.0
Total assets,118436832.0,117058354.0,117000000.0,0000000.0,000000.0,000000.0,000000.0
Payables,94720.0,24544.0,0000000.0,0000000.0,000000.0,000000.0,000000.0
Short-term debt,369030.0,95186.0,,,,,
Total current liabilities,546067.0,208131.0,0000000.0,0000000.0,000000.0,000000.0,000000.0
Long-term debt,0.0,0.0,,,,,
Total debt,369030.0,95186.0,,,,,
Deferred revenue,0.0,0.0,,,,,
Tax Liabilities,0.0,88401.0,,,,,
Deposit Liabilities,0.0,0.0,,,,,
Total non-current liabilities,50000.0,50000.0,112000000.0,000000.0,000000.0,000000.0,000000.0
Total liabilities,113436826.0,112058349.0,112000000.0,0000000.0,000000.0,000000.0,000000.0
Other comprehensive income,3838395,4878926,,,,,
Retained earnings (deficit),1161201.0,120659.0,0000000.0,-0000000.0,000000.0,000000.0,000000.0
Total shareholders equity,5000006.0,5000005.0,5000000.0,0000000.0,000000.0,000000.0,000000.0
Investments,118165948.0,116588017.0,117000000.0,000000.0,000000.0,000000.0,000000.0
Net Debt,98146.0,-333207.0,0,0,0,0,0
Other Assets,0.0,0.0,0,0,0,0,0
Other Liabilities,112840759.0,111800218.0,112000000,0,0,0,0
