Date,2018-12-31,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12
Revenue,54008000000.0,54208000000.0,52302000000.0,975412000000.0,56073000000.0,894217000000.0,848262000000.0,786101000000.0,775070000000.0
Revenue Growth,-0.00368949232585596,0.0364422010630569,-0.946379581141097,16.3953952882849,-0.937293744135931,0.0541754788025398,0.0790750806830166,0.0142322628923839,
Cost of Revenue,26469000000.0,26336000000.0,26009000000.0,485061000000.0,26367000000.0,418062000000.0,386102000000.0,358291000000.0,343446000000.0
Gross Profit,19438000000.0,19373000000.0,18329000000.0,490352000000.0,21818000000.0,476155000000.0,462160000000.0,427810000000.0,431624000000.0
R&D Expenses,,,,,,,,,
SG&A Expense,11819000000.0,12768000000.0,12231000000.0,228101000000.0,12633000000.0,203525000000.0,185683000000.0,167185000000.0,167149000000.0
Operating Expenses,,,,380742000000.0,,334701000000.0,305605000000.0,273552000000.0,274313000000.0
Operating Income,7260000000.0,5314000000.0,5877000000.0,109610000000.0,8872000000.0,141454000000.0,156554000000.0,154258000000.0,157310000000.0
Interest Expense,,,,33862000000.0,,31200000000.0,31523000000.0,30350000000.0,24915000000.0
Earnings before Tax,5254000000.0,3030000000.0,1259000000.0,23478000000.0,3522000000.0,56140000000.0,87205000000.0,105367000000.0,138518000000.0
Income Tax Expense,-2418000000.0,-1323000000.0,-611000000.0,11399000000.0,-1203000000.0,19180000000.0,39708000000.0,30393000000.0,46379000000.0
Net Income - Non-Controlling int,,,,,,,,,
Net Income - Discontinued ops,,,,,,,,,
Net Income,,,,8649000000.0,,35055000000.0,46146000000.0,74625000000.0,91441000000.0
Preferred Dividends,,,,,,,,,
Net Income Com,2734000000.0,1556000000.0,464000000.0,8649000000.0,2199000000.0,35055000000.0,46146000000.0,74625000000.0,91441000000.0
EPS,0.66,,,2.60,,10.40,13.40,20.40,24.00
EPS Diluted,0.83,0.47,0.14,2.60,0.66,10.40,13.40,20.40,24.00
Weighted Average Shs Out,2244000000.0,2245000000.0,2229000000.0,3285000000.0,2099000000.0,3343000000.0,3463000000.0,3643000000.0,3806000000.0
Weighted Average Shs Out (Dil),,,,3285000000.0,,3343000000.0,3463000000.0,3643000000.0,3806000000.0
Dividend per Share,,,,,,,,,
Gross Margin,0.3599,0.3574,0.3504,0.50271269986426,0.3891,0.53248260768919,0.54483166757441,0.54421760053734,0.55688389435793
EBITDA Margin,,,,0.21105543093585,,0.23828220666796,0.27552925864886,0.30180854623006,0.3445082379656
EBIT Margin,,,,0.055268953016776,,0.095541686190265,0.13837352138844,0.17220179086402,0.20996168088044
Profit Margin,,,,0.0088670223454294,,0.039201893947442,0.054400645083712,0.094930549636752,0.11797773104365
Free Cash Flow margin,,,,,,,,,
EBITDA,,,,205866000000.0,,213076000000.0,233721000000.0,237252000000.0,267018000000.0
EBIT,,,,53910000000,,85435000000,117377000000,135368000000,162735000000
Consolidated Income,,,,8649000000.0,,35055000000.0,46146000000.0,74625000000.0,91441000000.0
Earnings Before Tax Margin,0.0973,0.0559,0.0241,0.024069828954329,0.0628,0.062781181748949,0.10280432224949,0.13403748373301,0.17871676106674
Net Profit Margin,,,,0.0088670223454294,,0.039201893947442,0.054400645083712,0.094930549636752,0.11797773104365
