Date,2018-12-31,2017-12-31
Depreciation & Amortization,1178000.0,1103000.0
Stock-based compensation,112000.0,21000.0
Operating Cash Flow,-3067000.0,-18246000.0
Capital Expenditure,-2664000.0,-1119000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-203969000.0,-123749000.0
Investing Cash flow,-206633000.0,-124868000.0
Issuance (repayment) of debt,-16143000.0,-101143000.0
Issuance (buybacks) of shares,96632000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,86452000.0,906133000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-123248000.0,763019000.0
Free Cash Flow,-5731000.0,-19365000.0
Net Cash/Marketcap,,
