Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,233599000.0,141924000.0,128000000.0,269000000000.0
Short-term investments,16181000.0,0.0,0.0,0.0
Cash and short-term investments,249780000.0,141924000.0,128000000.0,269000000000.0
Receivables,292617000.0,127326000.0,188000000.0,88000000.0
Inventories,121965000.0,69561000.0,75000000.0,67000000.0
Total current assets,829601000.0,463154000.0,425000000.0,182000000.0
Property Plant & Equipment Net,699990000.0,179952000.0,317000000.0,1493000000.0
Goodwill and Intangible Assets,250208000.0,35085000.0,0.0,12018000.0
Long-term investments,29137000.0,40421000.0,43000000.0,4000000.0
Tax assets,27179000.0,78744000.0,,
Total non-current assets,1916457000.0,373446000.0,,
Total assets,2746058000.0,836600000.0,947000000.0,1715000000.0
Payables,114568000.0,76319000.0,98000000.0,33000000.0
Short-term debt,2110000.0,10730000.0,1316000.0,0.0
Total current liabilities,355236000.0,242175000.0,219000000.0,128000000.0
Long-term debt,545269000.0,361973000.0,347000000.0,68000000000.0
Total debt,547379000.0,372703000.0,,
Deferred revenue,619436000.0,0.0,,
Tax Liabilities,24140000.0,0.0,,
Deposit Liabilities,0.0,0.0,,
Total non-current liabilities,612802000.0,501777000.0,,
Total liabilities,1674918000.0,743952000.0,910000000.0,502000000.0
Other comprehensive income,690939000,-1948000.0,,
Retained earnings (deficit),403129000.0,103964000.0,-11000000.0,1210000000.0
Total shareholders equity,1071140000.0,92648000.0,37000000.0,1214000000.0
Investments,45318000.0,40421000.0,-4860000.0,-5874000.0
Net Debt,313780000.0,230779000.0,220316000.0,
Other Assets,0.0,124343000.0,34216000.0,
Other Liabilities,706880000.0,155126000.0,119684000.0,95000000.0
