Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-357556.0,-158346.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,
Investment purchases and sales,0.0,
Investing Cash flow,-170981779.0,-170981779.0
Issuance (repayment) of debt,-475382.0,12000.0
Issuance (buybacks) of shares,-1192945.0,150000.0
Dividend payments,-0.0,0.0
Financing Cash Flow,172531671.0,162000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,1192336.0,
Free Cash Flow,-357556.0,
Net Cash/Marketcap,0.0,
