Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31
Revenue,0.0,141000000.0,0.0,127000000.0,100000.0,96000000.0,5300000.0,104000000.0,2600000.0,185000000.0,0.0,888000.0,0.0
Revenue Growth,-1,0.0,-1,1269,-0.998958333333333,17.1132075471698,-0.949038461538461,39,-0.985945945945946,0.0,-1,0.0,0.0
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
SG&A Expense,22868000.0,23000000.0,41077000.0,18000000.0,35221000.0,15000000.0,39480000.0,10000000.0,40459000.0,40000000.0,19917000.0,11425000.0,10518000.0
Operating Expenses,41470000.0,,41077000.0,,35221000.0,,39480000.0,,40459000.0,,19917000.0,11425000.0,10518000.0
Operating Income,103738000.0,,91922000.0,,70655000.0,,82548000.0,,142586000.0,,69694000.0,29100000.0,5243000.0
Interest Expense,377071000.0,,7481000.0,,17764000.0,,13737000.0,,5569000.0,,231178000.0,105926000.0,0.0
Earnings before Tax,103738000.0,,91922000.0,,70655000.0,,82548000.0,,142586000.0,,69694000.0,29100000.0,5243000.0
Income Tax Expense,-1057000.0,-1000000.0,3355000.0,3000000.0,3095000.0,3000000.0,4535000.0,5000000.0,6395000.0,6000000.0,739000.0,932000.0,433000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,102886000.0,103000000.0,91980000.0,92000000.0,67551000.0,68000000.0,67023000.0,78000000.0,130379000.0,136000000.0,65387000.0,28279000.0,4873000.0
Preferred Dividends,23700000.0,,15660000.0,,12900000.0,,10990000.0,,5812000.0,,3568000.0,0.0,0.0
Net Income Com,102886000.0,103000000.0,91980000.0,92000000.0,67551000.0,68000000.0,67023000.0,78000000.0,130379000.0,136000000.0,65387000.0,28279000.0,4873000.0
EPS,0.62,,0.68,,0.5,,0.62,,1.48,,1.11,1.08,0.46
EPS Diluted,0.61,,0.66,,0.5,,0.62,,1.48,,1.11,1.08,0.46
Weighted Average Shs Out,127243000.0,,111836000.0,,109594000.0,,108399000.0,,87867000.0,,59102000.0,26067000.0,10495000.0
Weighted Average Shs Out (Dil),147450000.0,,130343000.0,,109594000.0,,108399000.0,,87867000.0,,59102000.0,26067000.0,10495000.0
Dividend per Share,0.664028484232,,0.720192108514,,0.959067102214,,1.0453786474,,0.986775467468,,1.03722378261,0.855641232209,0.787994282992
Gross Margin,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
EBITDA Margin,0.0,0,0.0,0,630.07,0,15.4728301887,0,53.8134615385,0,0.0,44.5788288288,0.0
EBIT Margin,0.0,0.72340425531915,0.0,0.74803149606299,706.55,0.73958333333333,15.5750943396,0.79807692307692,54.8407692308,0.76756756756757,0.0,32.7702702703,0.0
Profit Margin,0.0,0.73049645390071,0.0,0.7244094488189,675.51,0.70833333333333,12.6458490566,0.75,50.1457692308,0.73513513513514,0.0,31.8457207207,0.0
Free Cash Flow margin,0.0,,0.0,,538.44,,6.8558490566,,14.4426923077,,0.0,32.7578828829,0.0
EBITDA,133076000.0,,91725000.0,,63007000.0,,82006000.0,,139915000.0,,83118000.0,39586000.0,-189000.0
EBIT,103738000.0,102000000,91922000.0,95000000,70655000.0,71000000,82548000.0,83000000,142586000.0,142000000,69694000.0,29100000.0,5243000.0
Consolidated Income,102886000.0,103000000.0,91980000.0,92000000.0,67551000.0,68000000.0,67023000.0,78000000.0,130379000.0,136000000.0,65387000.0,28279000.0,4873000.0
Earnings Before Tax Margin,0.0,0,0.0,0,706.55,0,15.5750943396,0,54.8407692308,0,0.0,32.7702702703,0.0
Net Profit Margin,0.0,0.73049645390071,0.0,0.7244094488189,675.51,0.70833333333333,12.6458490566,0.75,50.1457692308,0.73513513513514,0.0,31.8457207207,0.0
