Date,2018-12-31,2018-09-30,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2014-09-30,2013-12-31,2013-09-30,2012-12-31,2012-09-30,2011-12-31,2011-09-30,2010-12-31
Revenue,15076822.0,1315500.0,513447.0,128500.0,461591.0,85100.0,590114.0,100100.0,500679.0,135100.0,390911.0,0.0,543058.0,0.0,336974.0,638500.0,138734.0
Revenue Growth,10.4609061193463,1.56209501662294,2.99569649805447,-0.721615022823235,4.42410105757932,-0.855790576058185,4.89524475524476,-0.800071502899063,2.7059881569208,-0.654397036665635,0.0,-1,0.0,-1,-0.472241190289742,3.60233252122767,0.0
Cost of Revenue,763520.0,827400.0,283833.0,53500.0,221250.0,5500.0,286687.0,4900.0,267040.0,0.0,196395.0,0.0,183673.0,0.0,132104.0,0.0,334910.0
Gross Profit,14313302.0,488100.0,229614.0,75000.0,240341.0,79600.0,303427.0,95200.0,233639.0,0.0,194516.0,0.0,359385.0,0.0,204870.0,0.0,-196176.0
R&D Expenses,1722897.0,0.0,2815106.0,0.0,1987966.0,0.0,1579112.0,0.0,1966254.0,0.0,2436585.0,0.0,2966583.0,0.0,1552205.0,0.0,1062031.0
SG&A Expense,22690056.0,9355500.0,16304373.0,5817500.0,9780877.0,3052200.0,10648326.0,1967800.0,13224128.0,2424200.0,10595553.0,2901500.0,8424927.0,4330700.0,5744644.0,5887900.0,2473928.0
Operating Expenses,24412953.0,10733000.0,19119479.0,7232100.0,11768843.0,3851900.0,12906009.0,2756500.0,15190382.0,3951900.0,14046157.0,4331500.0,11391510.0,5402600.0,8085742.0,7143500.0,3535959.0
Operating Income,-10099651.0,-10244900.0,-18889865.0,-7103600.0,-11528502.0,-3766800.0,-12602582.0,-2656400.0,-14956743.0,-3816800.0,-13851641.0,-4200600.0,-11032125.0,-5291200.0,-7880872.0,-6505000.0,-3732135.0
Interest Expense,22825190.0,0.0,11000559.0,0.0,5191720.0,0.0,3227160.0,0.0,2082541.0,0.0,2173561.0,0.0,3422220.0,0.0,979170.0,0.0,59936.0
Earnings before Tax,-57891338.0,-10331200.0,-45674192.0,-7110200.0,-21175154.0,-5938900.0,-13494409.0,-3381000.0,-21754649.0,-2654900.0,-14248786.0,-10887200.0,-14140874.0,-8327100.0,-8829549.0,-8173200.0,-3753066.0
Income Tax Expense,6222.0,1900.0,-12303110.0,2600.0,3693.0,2000.0,3564.0,5000.0,3665.0,5200.0,-182438.0,800.0,7246.0,1300.0,3209.0,800.0,4304.0
Net Income - Non-Controlling int,-145699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-57897560.0,-9598700.0,-33371082.0,-7112800.0,-21178847.0,-5940900.0,-13497973.0,-3379400.0,-21758314.0,-2662800.0,-14066348.0,-10907400.0,-14148120.0,-8866600.0,-8832758.0,-8174000.0,-3757370.0
Preferred Dividends,0.0,49200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-57897560.0,-9598700.0,-33371082.0,-7112800.0,-21178847.0,-5940900.0,-13497973.0,-3379400.0,-21758314.0,-2662800.0,-14066348.0,-10907400.0,-14148120.0,-8866600.0,-8832758.0,-8174000.0,-3757370.0
EPS,-1.65,-1.86,-0.96,-2.52,-0.7,-9.26,-0.47,-0.03,-0.73,-0.03,-0.53,-0.14,-0.58,-4.74,-0.38,-0.16,-0.19
EPS Diluted,-1.65,-1.86,-0.96,-2.52,-0.7,-9.26,-0.47,-0.03,-0.73,-0.03,-0.53,-0.14,-0.58,-4.74,-0.38,-0.16,-0.19
Weighted Average Shs Out,35952805.0,5199566.0,34873611.0,2817415.0,34671633.0,641844.0,28108013.0,101813242.0,27960487.0,99326519.0,26724057.0,75800179.0,24817248.0,1869038.0,24381667.0,52277119.0,
Weighted Average Shs Out (Dil),35097990.0,5199566.0,34790498.0,2817415.0,30194085.0,641844.0,28958580.0,101813242.0,29846962.0,99326519.0,26585578.0,75800179.0,24482759.0,1869038.0,23068206.0,52277119.0,19661306.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.9494,0.371037628278,0.4472,0.583657587549,0.5207,0.935370152761,0.5142,0.951048951049,0.4666,0.0,0.4976,0.0,0.6618,0.0,0.608,0.0,-1.414
EBITDA Margin,-2.322,-7.63565184341,-67.468,-54.9019455253,-34.594,-44.178613396,-17.004,-24.9360639361,-38.83,-28.1384159882,-30.288,0.0,-19.355,0.0,-22.791,-9.64714173845,-24.602
EBIT Margin,-2.3258,-7.78783732421,-67.5311,-55.2809338521,-34.6268,-44.2632197415,-17.3988,-26.5374625375,-39.2909,-28.251665433,-30.89,0.0,-19.7376,0.0,-23.2967,-10.1879404855,-26.6202
Profit Margin,-3.84,-7.2966172558,-64.994,-55.3525291829,-45.882,-69.8108108108,-22.874,-33.7602397602,-43.458,-19.7098445596,-35.984,0.0,-26.053,0.0,-26.212,-12.8018794049,-27.083
Free Cash Flow margin,-0.3811,-6.91286963132,46.9487,-38.2879377432,-21.758,-35.0458284371,-11.801,-21.1268731269,-17.5755,-24.2124352332,-21.482,0.0,-11.8897,0.0,-17.8928,-7.69083790133,-26.8227
