Date,2018-12-31,2017-12-31
Cash and cash equivalents,17278000.0,11370000.0
Short-term investments,0.0,0.0
Cash and short-term investments,17278000.0,11370000.0
Receivables,1298000.0,757000.0
Inventories,4348000.0,1815000.0
Total current assets,23254000.0,14347000.0
Property Plant & Equipment Net,758000.0,1161000.0
Goodwill and Intangible Assets,3215000.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,3973000.0,1185000.0
Total assets,27227000.0,15532000.0
Payables,3421000.0,1507000.0
Short-term debt,0.0,905000.0
Total current liabilities,9559000.0,6148000.0
Long-term debt,29733000.0,3610000.0
Total debt,29733000.0,4515000.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,31378000.0,6206000.0
Total liabilities,40937000.0,12354000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-137860000.0,-108171000.0
Total shareholders equity,-137860000.0,-108171000.0
Investments,0.0,0.0
Net Debt,12455000.0,-6855000.0
Other Assets,330000.0,405000.0
Other Liabilities,6138000.0,3736000.0
