date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-11-28_FY,2007-11-30_FY,2006-11-24_FY,2005-11-25_FY,2004-11-26_FY,2003-11-28_FY,2002-11-29_FY,2001-11-30_FY,2000-11-24_FY,1999-11-26_FY
,revenue,33294000000.0,33416000000.0,29533000000.0,28053000000.0,31244000000.0,32027000000.0,31865000000.0,31955000000.0,28811000000.0,39161000000.0,45173000000.0,53579000000.0,45987000000.0,69353000000.0,43391000000.0,29839000000.0,23623000000.0,22854000000.0,15811000000.0,33000000000.0,25363000000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34355000000.0,0.0,34079000000.0,19718000000.0,10241000000.0,8440000000.0,9720000000.0,0.0,16983000000.0,12464000000.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19224000000.0,0.0,35274000000.0,23673000000.0,19598000000.0,15183000000.0,13134000000.0,0.0,16017000000.0,12899000000.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358797289983016,0.0,0.508615344685882,0.545573966951672,0.656791447434566,0.642721076916564,0.574691520084012,0.0,0.485363636363636,0.508575483972716
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,13520000000.0,13351000000.0,12750000000.0,12456000000.0,13484000000.0,13470000000.0,13565000000.0,14324000000.0,13580000000.0,16134000000.0,16902000000.0,13917000000.0,20190000000.0,18888000000.0,13759000000.0,11471000000.0,9232000000.0,9137000000.0,7700000000.0,10511000000.0,10370000000.0
,SellingAndMarketingExpenses,739000000.0,740000000.0,588000000.0,457000000.0,557000000.0,549000000.0,541000000.0,509000000.0,640000000.0,530000000.0,2640000000.0,0.0,601000000.0,0.0,0.0,0.0,0.0,0.0,406000000.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709000000.0,0.0,1132000000.0,1016000000.0,827000000.0,625000000.0,233000000.0,0.0,0.0,200000000.0
,operatingExpenses,25963000000.0,24135000000.0,21598000000.0,20486000000.0,25042000000.0,22171000000.0,22469000000.0,22956000000.0,22642000000.0,26269000000.0,25344000000.0,16888000000.0,28383000000.0,20714000000.0,15400000000.0,12922000000.0,10738000000.0,9881000000.0,0.0,10997000000.0,10907000000.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51243000000.0,0.0,54793000000.0,35118000000.0,23163000000.0,19178000000.0,19601000000.0,0.0,27980000000.0,23371000000.0
,interestExpense,17376000000.0,15912000000.0,10181000000.0,7104000000.0,5388000000.0,5557000000.0,6668000000.0,7501000000.0,7982000000.0,6806000000.0,6500000000.0,-31357000000.0,41981000000.0,-31688000000.0,-18153000000.0,-8888000000.0,-2154000000.0,-2131000000.0,15327000000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1704000000.0,1328000000.0,1152000000.0,998000000.0,991000000.0,1337000000.0,1322000000.0,1738000000.0,1865000000.0,1889000000.0,1734000000.0,1625000000.0,1167000000.0,995000000.0,854000000.0,624000000.0,881000000.0,744000000.0,873000000.0,486000000.0,337000000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3961000000.0,0.0,15555000000.0,9127000000.0,7300000000.0,5326000000.0,3997000000.0,0.0,5506000000.0,2329000000.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739282181451688,0.0,0.224287341571381,0.21034315871955,0.244646268306579,0.225458239850993,0.174892797759692,0.0,0.166848484848485,0.0918266766549698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2336000000.0,0.0,14560000000.0,8273000000.0,6676000000.0,4445000000.0,3253000000.0,0.0,5020000000.0,1992000000.0
,operatingIncomeRatio,0.317865080795338,0.373503710797223,0.376934276910575,0.367304744590596,0.280949942388939,0.385830705342367,0.368335163973011,0.350711938663746,0.214119607094513,0.32920507647915,0.438956899032608,0.0435991713171205,0.382803835866658,0.209940449584012,0.190661657947501,0.223734039344482,0.188164077382212,0.142338321519209,0.233761305420277,0.152121212121212,0.0785396049363246
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,10583000000.0,12481000000.0,11132000000.0,10304000000.0,8778000000.0,12357000000.0,11737000000.0,11207000000.0,6169000000.0,12892000000.0,19829000000.0,2336000000.0,17604000000.0,14560000000.0,8273000000.0,6676000000.0,4445000000.0,3253000000.0,3696000000.0,5020000000.0,1992000000.0
