Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,1665570.0,3354712.0,2960912.0,2115050.0,4427174.0,3577851.0,1564101.0,1785068.0
Revenue Growth,-0.5035,0.133,0.3999,-0.5223,0.2374,1.2875,-0.1238,
Cost of Revenue,1538285.0,2406132.0,1083087.0,950792.0,1175232.0,1913844.0,1007951.0,956620.0
Gross Profit,127285.0,948580.0,1877825.0,1164258.0,3251942.0,1664007.0,556150.0,828448.0
R&D Expenses,1063253.0,1260378.0,1188868.0,1406895.0,916308.0,1006800.0,900380.0,888976.0
SG&A Expense,7448333.0,6130884.0,5146093.0,6572802.0,5281183.0,2209346.0,2132439.0,3895927.0
Operating Expenses,10187694.0,7562370.0,5206460.0,10846488.0,6456063.0,3474718.0,3291391.0,5012997.0
Operating Income,-10060409.0,-6613790.0,-3328635.0,-9682230.0,-3204121.0,-1810711.0,-2735241.0,-4184549.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,-10849034.0,-7366310.0,-3303538.0,-9581257.0,-3142960.0,-1526773.0,-2725228.0,-3924834.0
Income Tax Expense,0.0,0.0,0.0,-269344.0,0.0,0.0,-167408.0,-297890.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-10849034.0,-7366310.0,-3303538.0,-9311913.0,-3142960.0,-1526773.0,-2557820.0,-3626944.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-10849034.0,-7366310.0,-3303538.0,-9311913.0,-3142960.0,-1526773.0,-2557820.0,-3626944.0
EPS,-0.99,-6.29,-4.88,-14.48,-5.28,-7.68,-17.92,-27.76
EPS Diluted,-0.99,-6.29,-4.88,-14.48,-5.28,-7.68,-17.92,-27.76
Weighted Average Shs Out,12474028.0,1240069.0,681568.0,643105.0,619355.0,611855.0,611855.0,
Weighted Average Shs Out (Dil),10973830.0,1171683.0,678776.0,642615.0,593211.0,199590.0,142882.0,130785.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.0764,0.2828,0.6342,0.5505,0.7345,0.4651,0.3556,0.4641
EBITDA Margin,-6.373,-2.121,-1.019,-4.388,-0.631,-0.328,-1.505,-1.987
EBIT Margin,-6.5137,-2.1958,-1.1157,-4.53,-0.7099,-0.4267,-1.7424,-2.1987
Profit Margin,-6.514,-2.196,-1.116,-4.403,-0.71,-0.427,-1.635,-2.032
Free Cash Flow margin,-5.1547,-1.5307,-1.4511,-2.48,-0.8829,-0.7974,-0.6463,-1.4058
EBITDA,-10614548.0,-7116416.0,-3017376.0,-9281262.0,-2793562.0,-1172376.0,-2353552.0,-3547386.0
EBIT,-10849034.0,-7366310.0,-3303538.0,-9581257.0,-3142960.0,-1526773.0,-2725228.0,-3924834.0
Consolidated Income,-10849034.0,-7366310.0,-3303538.0,-9311913.0,-3142960.0,-1526773.0,-2557820.0,-3626944.0
Earnings Before Tax Margin,-6.5137,-2.1958,-1.1157,-4.53,-0.7099,-0.4267,-1.7424,-2.1987
Net Profit Margin,-6.5137,-2.1958,-1.1157,-4.4027,-0.7099,-0.4267,-1.6353,-2.0318
