date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,24681301.0,44351851.0,29823007.0,16302568.0,13175670.0,7574398.0,3707544.0,1541681.0,469270.0,1364598.0
,GeneralAndAdministrativeExpenses,9985454.0,12154702.0,9876144.0,6185820.0,5520308.0,4414709.0,3563046.0,2134726.0,644941.0,743941.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3676407.0,-1114211.0,-2108539.0
,operatingExpenses,34666755.0,56506553.0,39699151.0,22488388.0,18695978.0,11989107.0,7270590.0,0.0,0.0,0.0
,costAndExpenses,34666755.0,56506553.0,39699151.0,22488388.0,18695978.0,11989107.0,7270590.0,3676407.0,1114211.0,2108539.0
,interestExpense,1904198.0,603846.0,146792.0,113453.0,105509.0,112306.0,244174.0,159323.0,342014.0,279932.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,56221.0,96305.0,71003.0,37849.0,35792.0,18778.0,1069.0,0.0,3737.0,1589.0
,EBITDA,-34318310.0,-56410248.0,-39628148.0,-22450539.0,-18660186.0,-11970329.0,-7269521.0,-3676376.0,-22594264.0,-2096543.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-34666755.0,-56506553.0,-39699151.0,-22488388.0,-18695978.0,-11989107.0,-7270590.0,-3676407.0,-1114211.0,-2108539.0
,operatingIncomeRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,3366239.0,5630251.0,-805906.0,-147799.0,3472.0,101180.0,-2083331.0,-16736879.0,21960304.0,269525.0
,incomeBeforeTax,-38032994.0,-62136804.0,-38893245.0,-22340589.0,-18699450.0,-12090287.0,-5187259.0,13060472.0,-23074515.0,-2378064.0
,incomeBeforeTaxRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,-479265.0,-1309973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-37553729.0,-60826831.0,-38893245.0,-22340589.0,-18699450.0,-12090287.0,-5187259.0,13060472.0,-23074515.0,-2378064.0
,netIncomeRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.11,-2.24,-1.79,-1.4,-1.65,-1.4,-2.51,2.73,-119.517664,-7.921128
,EPSDiluted,-1.11,-2.24,-1.79,-1.4,-1.65,-1.4,-3.09,-0.69,-119.517664,-7.921128
,weightedAverageShsOut,33965955.0,27111840.0,21685642.0,15921884.0,11352230.0,8633897.0,3818157.0,4035229.0,327365.0,327365.0
,weightedAverageShsOutDil,33965955.0,27111840.0,21685642.0,15921884.0,11352230.0,8633897.0,3850612.0,4521280.0,4801921.0,4801921.0
