date,,2020-12-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY
,revenue,76661069.0,179468796.0,-86484138.0,213107749.0
,costOfRevenue,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1044892.0,1082097.0,1024102.0,1123013.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0
,otherExpenses,18585.0,18200.0,18720.0,18810.0
,operatingExpenses,1063477.0,1100297.0,1042822.0,1141823.0
,costAndExpenses,0.0,0.0,0.0,0.0
,interestExpense,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0
,EBITDA,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0
,incomeBeforeTax,75597592.0,178368499.0,-87526960.0,211965926.0
,incomeBeforeTaxRatio,0.986127547999624,0.993869145921055,-1.01205795680128,0.994642039037257
,incomeTaxExpense,0.0,0.0,0.0,0.0
,netIncome,75597592.0,178368499.0,-87526960.0,211965926.0
,netIncomeRatio,0.986127547999624,0.993869145921055,-1.01205795680128,0.994642039037257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.700164115916565,1.652,-0.809,1.985
,EPSDiluted,0.700164115916565,1.652,-0.809,1.985
,weightedAverageShsOut,107971246.0,107971246.0,108191545.0,106783842.0
,weightedAverageShsOutDil,107971246.0,107971246.0,108191545.0,106783842.0
