date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,164286000.0,282714000.0,598995000.0,408357000.0,262434000.0,347696000.0,283749000.0,188125000.0,177481000.0,6474000.0,130050000.0
,depreciationAndAmortization,255229000.0,258748000.0,245340000.0,270371000.0,308401000.0,282683000.0,212508000.0,185276000.0,199465000.0,185948000.0,183142000.0
,deferredIncomeTax,-44900000.0,27623000.0,-144068000.0,-56757000.0,8344000.0,-179009000.0,-59156000.0,25711000.0,-26381000.0,48662000.0,24267000.0
,stockBasedCompensation,19125000.0,18757000.0,23825000.0,19819000.0,17425000.0,15326000.0,12985000.0,8967000.0,14714000.0,8012000.0,25421000.0
,changeInWorkingCapital,153909000.0,53695000.0,58415000.0,460607000.0,345441000.0,-28510000.0,-95881000.0,-79178000.0,302403000.0,-295973000.0,-22175000.0
,accountsReceivables,-16668000.0,26605000.0,-34877000.0,-56330000.0,-33013000.0,18618000.0,-26287000.0,-33436000.0,6858000.0,-11118000.0,-17406000.0
,inventory,58390000.0,-10924000.0,-55445000.0,-57119000.0,-37500000.0,40526000.0,-77473000.0,-7336000.0,22091000.0,-19907000.0,-15574000.0
,accountsPayables,90479000.0,-34563000.0,48371000.0,23841000.0,-21432000.0,-38034000.0,19189000.0,23902000.0,-13877000.0,0.0,0.0
,otherWorkingCapital,1484815000.0,1330906000.0,1277211000.0,1218796000.0,758189000.0,412748000.0,441258000.0,537139000.0,616317000.0,313914000.0,609887000.0
,otherNonCashItems,6854000.0,12168000.0,9667000.0,9911000.0,7334000.0,40791000.0,8868000.0,13317000.0,7324000.0,13098000.0,0.0
,netCashProvidedByOperatingActivites,559775000.0,619562000.0,620563000.0,557646000.0,521525000.0,533131000.0,382568000.0,395838000.0,397313000.0,305867000.0,300046000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-106719000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89807000.0,-52912000.0
,acquisitionsNet,-64000000.0,-32000000.0,-79000000.0,0.0,5000000.0,-994000000.0,-1294000000.0,-15000000.0,-13000000.0,-465000000.0,0.0
,purchasesOfInvestments,-22963000.0,-9950000.0,0.0,0.0,-50000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,12022000.0,-5103000.0,711000.0,3862000.0,751000.0,4775000.0,7884000.0,10604000.0,5631000.0,0.0,364000.0
,netCashUsedForInvestingActivites,-182092000.0,-208777000.0,-237606000.0,-140722000.0,-174778000.0,-1166369000.0,-1430065000.0,-87650000.0,-62501000.0,-554458000.0,-52548000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-408914000.0,-464605000.0,-15653000.0,-943554000.0,-336256000.0,-2000257000.0,-76375000.0,-711665000.0,-13349000.0,-1933035000.0,-357698000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176000.0,433539000.0
,commonStockRepurchased,-35175000.0,-350004000.0,-399417000.0,-2910000.0,-4752000.0,-50000.0,-181774000.0,-305096000.0,-15190000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-11190000.0,-17040000.0,2764000.0,-4043000.0,-518000.0,-50052000.0,-16330000.0,-8069000.0,-1381000.0,-14585000.0,0.0
,netCashUsedProvidedByFinancingActivities,710178000.0,-366499000.0,-406213000.0,-15263000.0,-337582000.0,764172000.0,940930000.0,-403831000.0,-13400000.0,-152944000.0,97696000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1087861000.0,44286000.0,-23256000.0,401661000.0,9165000.0,130934000.0,-106567000.0,-95643000.0,321412000.0,-401535000.0,345194000.0
,cashAtEndOfPeriod,1861980000.0,774119000.0,729833000.0,753089000.0,351428000.0,342263000.0,211329000.0,317896000.0,413539000.0,92127000.0,493662000.0
,cashAtBeginningOfPeriod,774119000.0,729833000.0,753089000.0,351428000.0,342263000.0,211329000.0,317896000.0,413539000.0,92127000.0,493662000.0,148468000.0
,operatingCashFlow,559775000.0,619562000.0,620563000.0,557646000.0,521525000.0,533131000.0,382568000.0,395838000.0,397313000.0,305867000.0,300046000.0
,capitalExpenditure,-106719000.0,-161259000.0,-159787000.0,-144584000.0,-130217000.0,-177196000.0,-144211000.0,-82784000.0,-54786000.0,-89807000.0,-52912000.0
,freeCashFlow,453056000.0,458303000.0,460776000.0,413062000.0,391308000.0,355935000.0,238357000.0,313054000.0,342527000.0,216060000.0,247134000.0
