Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-347081.0,-347081.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,0.0,
Investing Cash flow,0.0,-900000000.0
Issuance (repayment) of debt,-512589.0,-512589.0
Issuance (buybacks) of shares,0.0,900000000.0
Dividend payments,0.0,0.0
Financing Cash Flow,-512589.0,904276089.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,-859670.0,
Free Cash Flow,-347081.0,
Net Cash/Marketcap,0.0015,
