Date,2019-03-07,2018-03-07
Depreciation & Amortization,17412000.0,2000.0
Stock-based compensation,202000.0,115000.0
Operating Cash Flow,35714000.0,-17752000.0
Capital Expenditure,-581469000.0,-75792000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-584433000.0,-77714000.0
Issuance (repayment) of debt,298544000.0,-117000000.0
Issuance (buybacks) of shares,295311000.0,220988000.0
Dividend payments,0.0,0.0
Financing Cash Flow,593855000.0,103988000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,45136000.0,8522000.0
Free Cash Flow,-545755000.0,-93544000.0
Net Cash/Marketcap,,
