Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,17000.0,1000.0,0.0,0.0
Stock-based compensation,3082000.0,1606000.0,671000.0,
Operating Cash Flow,-13509000.0,-2196000.0,-1294000.0,-280000.0
Capital Expenditure,-340000.0,0.0,-4000.0,-1000.0
Acquisitions and disposals,0.0,0.0,0.0,
Investment purchases and sales,0.0,0.0,0.0,
Investing Cash flow,-340000.0,0.0,-4000.0,-1000.0
Issuance (repayment) of debt,-371000.0,371000.0,0.0,
Issuance (buybacks) of shares,56513000.0,2061000.0,0.0,
Dividend payments,0.0,0.0,0.0,
Financing Cash Flow,55527000.0,3083000.0,1298000.0,281000.0
Effect of forex changes on cash,0.0,0.0,0.0,
Net cash flow / Change in cash,41678000.0,887000.0,0.0,0.0
Free Cash Flow,-13849000.0,-2196000.0,-1298000.0,
Net Cash/Marketcap,0.7048,0.0031,0.0031,0.0031
