date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,365663000.0,298136000.0,275329000.0,196290000.0,140674000.0,93144000.0,90517000.0,87528000.0,91738000.0,92776000.0,92426000.0,81052000.0,70846000.0,55455000.0,71727000.0,85016000.0,76761000.0,76392000.0,71689000.0,67937000.0,55838000.0,53700000.0,46600000.0,45500000.0,39300000.0,2306000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,141951000.0,112909000.0,104343000.0,75074000.0,59717000.0,40564000.0,39728000.0,37348000.0,34810000.0,35939000.0,44205000.0,39360000.0,30694000.0,39391000.0,39532000.0,31184000.0,27242000.0,22240000.0,20324000.0,27498000.0,23857000.0,20400000.0,18600000.0,17300000.0,13200000.0,8707000.0
,SellingAndMarketingExpenses,3117000.0,3469000.0,3415000.0,2678000.0,1882000.0,1516000.0,1795000.0,1632000.0,1633000.0,1766000.0,1745000.0,1767000.0,1833000.0,1482000.0,1517000.0,2914000.0,2020000.0,2193000.0,1988000.0,1711000.0,1685000.0,1700000.0,1400000.0,700000.0,800000.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
