Date,2018-12-31,2017-12-31
Depreciation & Amortization,57000.0,10000.0
Stock-based compensation,170000.0,66000.0
Operating Cash Flow,-6981000.0,-4321000.0
Capital Expenditure,-402000.0,-58000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-402000.0,-58000.0
Issuance (repayment) of debt,4944000.0,0.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,10930000.0,0.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,3547000.0,-4379000.0
Free Cash Flow,-7383000.0,-4379000.0
Net Cash/Marketcap,0.0009,0.0009
