Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,0.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,0.0,236317.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,-0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,135758000.0,-650000000.0
Issuance (repayment) of debt,-0.0,-300000.0
Issuance (buybacks) of shares,-135758000.0,-826466.0
Dividend payments,-0.0,-0.0
Financing Cash Flow,0.0,650615149.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,135758000.0,851466.0
Free Cash Flow,0.0,236317.0
Net Cash/Marketcap,0.0,0.0
