date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,2081000000.0,2698000000.0,2713000000.0,2262000000.0,1840200000.0,1985800000.0,2127400000.0,1926800000.0,2141800000.0,2162800000.0,1926300000.0
,costOfRevenue,1083000000.0,1304000000.0,1291000000.0,1131000000.0,976000000.0,1052000000.0,1151500000.0,1084900000.0,1187500000.0,1208300000.0,1098100000.0
,grossProfit,998000000.0,1394000000.0,1422000000.0,1131000000.0,864200000.0,933800000.0,975900000.0,841900000.0,954300000.0,954500000.0,828200000.0
,grossProfitRatio,0.479577126381547,0.516679021497406,0.524143015112422,0.5,0.469622867079665,0.470238694732601,0.458728964933722,0.436942080132863,0.445559809506023,0.44132605881265,0.429943414836734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,147000000.0,154000000.0,131000000.0,105000000.0,88800000.0,92500000.0,103800000.0,97100000.0,115100000.0,116400000.0,101500000.0
,GeneralAndAdministrativeExpenses,317000000.0,354000000.0,364000000.0,342000000.0,323900000.0,317100000.0,344600000.0,334900000.0,419000000.0,409100000.0,384900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-4000000.0,10000000.0,7000000.0,-17000000.0,900000.0,-500000.0,1900000.0,300000.0,-2700000.0,0.0,800000.0
,operatingExpenses,464000000.0,500000000.0,495000000.0,447000000.0,412700000.0,423600000.0,445800000.0,426800000.0,522600000.0,525500000.0,471000000.0
,costAndExpenses,1547000000.0,1804000000.0,1786000000.0,1578000000.0,1388700000.0,1475600000.0,1597300000.0,1511700000.0,1710100000.0,1733800000.0,1569100000.0
,interestExpense,137000000.0,134000000.0,121000000.0,103000000.0,101600000.0,140500000.0,139300000.0,133700000.0,152100000.0,218200000.0,281000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,148000000.0,167000000.0,164000000.0,170000000.0,175900000.0,185400000.0,192600000.0,204000000.0,252500000.0,255700000.0,253800000.0
,EBITDA,682000000.0,1061000000.0,1091000000.0,854000000.0,627400000.0,695600000.0,722700000.0,619100000.0,684200000.0,684700000.0,611000000.0
,EBITDARatio,0.327727054300817,0.393254262416605,0.402137854773314,0.377541998231653,0.340941202043256,0.350287037969584,0.33971044467425,0.321309943948516,0.319450929125035,0.316580358794156,0.317188392254581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,534000000.0,894000000.0,927000000.0,684000000.0,451500000.0,510200000.0,530100000.0,415100000.0,431700000.0,429000000.0,357200000.0
,operatingIncomeRatio,0.256607400288323,0.331356560415122,0.341688168079617,0.302387267904509,0.245353765895011,0.256924161546984,0.249177399642756,0.215434917998754,0.201559435988421,0.198353985574256,0.185433213933448
,totalOtherIncomeExpensesNet,-4000000.0,8000000.0,-1000000.0,-54000000.0,2400000.0,-81600000.0,-22200000.0,-14500000.0,-58200000.0,-61100000.0,3600000.0
,incomeBeforeTax,393000000.0,768000000.0,805000000.0,527000000.0,341300000.0,288800000.0,368100000.0,266100000.0,216200000.0,150600000.0,83300000.0
,incomeBeforeTaxRatio,0.188851513695339,0.284655300222387,0.296719498709915,0.232979664014147,0.185468970764047,0.145432571255917,0.17302810942935,0.138104629437409,0.100943131945093,0.0696319585722212,0.0432435238540207
,incomeTaxExpense,94000000.0,164000000.0,166000000.0,23000000.0,126400000.0,106500000.0,139500000.0,100700000.0,-298000000.0,47600000.0,53700000.0
,netIncome,299000000.0,604000000.0,639000000.0,504000000.0,214900000.0,182300000.0,228600000.0,165400000.0,514200000.0,103000000.0,29600000.0
,netIncomeRatio,0.143680922633349,0.223869532987398,0.235532620715076,0.222811671087533,0.116780784697316,0.0918017927283714,0.107455109523362,0.0858418102553457,0.240078438696424,0.0476234510819308,0.0153662461714167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,2.45041390769047,4.95,4.81,3.38,1.28,1.03,1.27,0.9,2.83,0.567882,0.163175
