date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY
,revenue,22000000.0,776600000.0,1543300000.0
,costOfRevenue,24000000.0,661400000.0,1109100000.0
,grossProfit,-2000000.0,115200000.0,434200000.0
,grossProfitRatio,-0.0909090909090909,0.148338913211434,0.281345169442105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,4000000.0,89100000.0,87900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0
,otherExpenses,29000000.0,-58500000.0,-19200000.0
,operatingExpenses,33000000.0,96600000.0,96700000.0
,costAndExpenses,57000000.0,758000000.0,1205800000.0
,interestExpense,0.0,30700000.0,49300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,4000000.0,7500000.0,8800000.0
,EBITDA,-7000000.0,26100000.0,346300000.0
,EBITDARatio,-0.318181818181818,0.0336080350244656,0.224389295665133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-11000000.0,18600000.0,337500000.0
,operatingIncomeRatio,-0.5,0.0239505536955962,0.218687228665846
,totalOtherIncomeExpensesNet,0.0,-59400000.0,-27800000.0
,incomeBeforeTax,-13000000.0,-71500000.0,260400000.0
,incomeBeforeTaxRatio,-0.590909090909091,-0.0920679886685552,0.168729346206182
,incomeTaxExpense,0.0,1400000.0,2000000.0
,netIncome,-13000000.0,-72900000.0,258400000.0
,netIncomeRatio,-0.590909090909091,-0.0938707185166109,0.167433421888162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.41590782382457,-13.4,130.8
,EPSDiluted,-2.41590782382457,-13.4,130.8
,weightedAverageShsOut,5381000.0,5440000.0,5210000.0
,weightedAverageShsOutDil,5381000.0,5440000.0,5210000.0
