date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,revenue,22334000.0,59215000.0,103269000.0,173245000.0,150246000.0,173209000.0,14775000.0,22443000.0,26101000.0,32600000.0,37094000.0,42118000.0,38619000.0,36654000.0,23020000.0,23598000.0,55410000.0,25167000.0,18406000.0,13087000.0,10902000.0,11040000.0,9522000.0,8100000.0,4900000.0
,costOfRevenue,5742000.0,12125000.0,17516000.0,16301000.0,13248000.0,10921000.0,3383000.0,4349000.0,5860000.0,6284000.0,6914000.0,10118000.0,9621000.0,17320000.0,6250000.0,2525000.0,3602000.0,3676000.0,2373000.0,2166000.0,1750000.0,2087000.0,3533000.0,3100000.0,400000.0
,grossProfit,16592000.0,47090000.0,85753000.0,156944000.0,136998000.0,162288000.0,11392000.0,18094000.0,20241000.0,26316000.0,30180000.0,32000000.0,28998000.0,19334000.0,16770000.0,21073000.0,51808000.0,21491000.0,16033000.0,10921000.0,9152000.0,8953000.0,5989000.0,5000000.0,4500000.0
,grossProfitRatio,0.742903196919495,0.795237693152073,0.830384723392306,0.905907818407458,0.911824607643465,0.936949003804652,0.771032148900169,0.806220202290246,0.77548752921344,0.807239263803681,0.813608669865747,0.759770169523719,0.750873922162666,0.527473127080264,0.728496959165943,0.892999406729384,0.934993683450641,0.853935709460802,0.871074649570792,0.834492244211813,0.839478994679875,0.810960144927536,0.628964503255619,0.617283950617284,0.918367346938776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,20442000.0,32917000.0,39329000.0,33418000.0,34611000.0,25608000.0,17298000.0,26686000.0,26115000.0,25089000.0,28687000.0,30416000.0,36247000.0,43557000.0,38233000.0,47301000.0,35359000.0,20223000.0,12239000.0,10662000.0,9789000.0,11054000.0,10608000.0,10100000.0,0.0
,GeneralAndAdministrativeExpenses,32405000.0,30183000.0,100359000.0,58860000.0,44179000.0,21712000.0,15698000.0,13307000.0,14153000.0,10810000.0,11333000.0,13337000.0,12911000.0,16626000.0,17375000.0,14541000.0,7614000.0,5967000.0,4017000.0,3414000.0,3455000.0,3692000.0,3631000.0,3200000.0,12600000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3364000.0,-378000.0,1899000.0,2071000.0,-6548000.0,0.0,-36000.0,573000.0,102000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,53253000.0,63916000.0,146307000.0,95937000.0,92678000.0,59884000.0,44745000.0,39993000.0,40268000.0,35899000.0,40020000.0,43753000.0,49158000.0,60183000.0,55608000.0,61842000.0,42973000.0,26190000.0,16256000.0,14076000.0,25259000.0,15953000.0,15280000.0,14000000.0,13500000.0
,costAndExpenses,58995000.0,76041000.0,163823000.0,112238000.0,105926000.0,70805000.0,48128000.0,44342000.0,46128000.0,42183000.0,46934000.0,53871000.0,58779000.0,77503000.0,61858000.0,64367000.0,46575000.0,29866000.0,18629000.0,16242000.0,27009000.0,18040000.0,18813000.0,17100000.0,13900000.0
,interestExpense,12994000.0,12483000.0,10622000.0,1052000.0,963000.0,6298000.0,9272000.0,4600000.0,118000.0,73000.0,24000.0,100000.0,18000.0,16000.0,35000.0,68000.0,45000.0,29000.0,49000.0,52000.0,51000.0,0.0,95000.0,0.0,100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,406000.0,816000.0,6619000.0,3659000.0,13888000.0,12564000.0,11749000.0,3062000.0,3183000.0,3346000.0,4696000.0,5917000.0,7249000.0,6198000.0,5639000.0,4743000.0,2530000.0,1712000.0,1460000.0,1270000.0,1113000.0,1207000.0,1041000.0,700000.0,900000.0
,EBITDA,-36255000.0,-16010000.0,-53935000.0,64666000.0,58208000.0,114968000.0,-21604000.0,-18837000.0,-16844000.0,-6237000.0,-5144000.0,-5836000.0,-12911000.0,-34651000.0,-33199000.0,-36026000.0,11365000.0,-2987000.0,1237000.0,-1885000.0,-14994000.0,-5793000.0,-8250000.0,-8300000.0,-8100000.0
,EBITDARatio,-1.6233097519477,-0.270370683103943,-0.522276772313085,0.373263297642068,0.387417967866033,0.663753038237043,-1.46219966159052,-0.8393262932763,-0.645339259032221,-0.191319018404908,-0.13867471828328,-0.138563084666888,-0.33431730495352,-0.945353849511649,-1.44218071242398,-1.52665480125434,0.205107381339108,-0.118687169706362,0.0672063457568184,-0.144036066325361,-1.37534397358283,-0.524728260869565,-0.866414618777568,-1.02469135802469,-1.6530612244898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-36661000.0,-16826000.0,-60554000.0,61007000.0,44320000.0,102404000.0,-33353000.0,-21899000.0,-20027000.0,-9583000.0,-9840000.0,-11753000.0,-20160000.0,-40849000.0,-38838000.0,-40769000.0,8835000.0,-4699000.0,-223000.0,-3155000.0,-16107000.0,-7000000.0,-9291000.0,-9000000.0,-9000000.0
,operatingIncomeRatio,-1.64148831378168,-0.284150975259647,-0.586371515169121,0.352142918987561,0.294982894719327,0.591216391757934,-2.25739424703892,-0.975760816290157,-0.767288609631815,-0.293957055214724,-0.265272011646088,-0.279049337575383,-0.522022838499184,-1.11444862770775,-1.6871416159861,-1.72764641071277,0.159447753113156,-0.186712758771407,-0.0121156144735412,-0.24107893329258,-1.47743533296643,-0.634057971014493,-0.975740390674228,-1.11111111111111,-1.83673469387755
,totalOtherIncomeExpensesNet,44573000.0,-9273000.0,-42021000.0,32705000.0,-53075000.0,-17712000.0,-48669000.0,-27850000.0,11586000.0,407000.0,634000.0,-111000.0,184000.0,-257000.0,-468000.0,5503000.0,-144000.0,109000.0,2427000.0,55000.0,49000.0,139000.0,-76000.0,700000.0,700000.0
,incomeBeforeTax,-5082000.0,-38582000.0,-113197000.0,92660000.0,-9718000.0,78394000.0,-90331000.0,-54095000.0,-7930000.0,-8582000.0,-8766000.0,-11439000.0,-18562000.0,-39431000.0,-37319000.0,-31663000.0,9298000.0,-3997000.0,2452000.0,-2860000.0,-4834000.0,-6678000.0,-9059000.0,-8200000.0,-8400000.0
,incomeBeforeTaxRatio,-0.227545446404585,-0.651557882293338,-1.09613727256001,0.534849490605789,-0.0646805904982495,0.452597728755434,-6.11377326565144,-2.41032838747048,-0.303819777020038,-0.263251533742331,-0.236318542082277,-0.271594092786932,-0.480644242471322,-1.07576253614885,-1.62115551694179,-1.34176625137724,0.167803645551345,-0.158819088488894,0.133217429099207,-0.218537479941927,-0.443404879838562,-0.604891304347826,-0.951375761394665,-1.01234567901235,-1.71428571428571
,incomeTaxExpense,-12110000.0,-5356000.0,-17893000.0,24389000.0,31558000.0,37735000.0,-1407000.0,-11170000.0,-4702000.0,192000.0,209000.0,0.0,-6478000.0,-1694000.0,-2118000.0,-4286000.0,-3201000.0,-503000.0,-553000.0,14000.0,50000.0,16000.0,-1247000.0,-1400000.0,-1500000.0
,netIncome,7028000.0,-33226000.0,-95304000.0,68271000.0,-41276000.0,40659000.0,-84906000.0,-42925000.0,-3228000.0,-8774000.0,-8975000.0,-11439000.0,-12084000.0,-37737000.0,-35201000.0,-27377000.0,12499000.0,-3494000.0,3005000.0,-2874000.0,-9461000.0,-6694000.0,-7812000.0,-6800000.0,-6900000.0
,netIncomeRatio,0.314677173815707,-0.561107827408596,-0.922871336025332,0.394071978989293,-0.274722787961077,0.23473953431981,-5.74659898477157,-1.91262308960478,-0.123673422474235,-0.269141104294479,-0.24195287647598,-0.271594092786932,-0.312902975219452,-1.02954657063349,-1.52914856646394,-1.16014068988897,0.22557300126331,-0.138832598243732,0.163261979789199,-0.219607243829755,-0.867822417904972,-0.606340579710145,-0.820415879017013,-0.839506172839506,-1.40816326530612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.13,-0.89,-2.55,1.66,-1.0,1.0,-2.34,-1.69,-0.13,-0.36,-0.37,-0.47,-0.5,-1.57,-1.48,-1.19,0.58,-0.2,0.19,-0.18,-0.62,-0.52,-0.65,-0.65,-0.8
,EPSDiluted,0.13,-0.89,-2.55,1.61,-1.0,0.93,-2.34,-1.69,-0.13,-0.36,-0.37,-0.47,-0.5,-1.57,-1.48,-1.19,0.53,-0.2,0.18,-0.18,-0.62,-0.52,-0.65,-0.65,-0.8
,weightedAverageShsOut,52996000.0,37403000.0,37325000.0,40465000.0,41248000.0,40580000.0,36214000.0,25449000.0,25086000.0,24669000.0,24411000.0,24225000.0,24082000.0,24024000.0,23812000.0,22999000.0,21514000.0,17762000.0,16198000.0,16198000.0,15331000.0,12939000.0,12046000.0,10461538.0,8625000.0
,weightedAverageShsOutDil,54941000.0,37403000.0,37325000.0,41765000.0,41248000.0,43619000.0,36214000.0,25449000.0,25086000.0,24669000.0,24411000.0,24225000.0,24082000.0,24024000.0,23812000.0,22999000.0,23559000.0,17762000.0,16711000.0,16198000.0,15331000.0,12939000.0,12046000.0,10461538.0,8625000.0
