date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY,2013-01-31_FY,2012-01-31_FY,2010-12-31_FY,2009-12-31_FY
,revenue,4317996000.0,3627206000.0,2822180000.0,2143050000.0,1569407000.0,1162346000.0,787860000.0,468938000.0,273657000.0,134427000.0,68055000.0,25245000.0
,costOfRevenue,1198132000.0,1065258000.0,834950000.0,629413000.0,483545000.0,374427000.0,264803000.0,176810000.0,116535000.0,65368000.0,39864000.0,20505000.0
,grossProfit,3119864000.0,2561948000.0,1987230000.0,1513637000.0,1085862000.0,787919000.0,523057000.0,292128000.0,157122000.0,69059000.0,28191000.0,4740000.0
,grossProfitRatio,0.722525912483476,0.706314446987571,0.70414714865813,0.706300366300366,0.691893180035517,0.677869584443875,0.663895869824588,0.622956552891853,0.574156699810347,0.513728640823644,0.414238483579458,0.187759952465835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1721222000.0,1549906000.0,1211832000.0,910584000.0,680531000.0,469944000.0,316868000.0,182116000.0,102665000.0,62014000.0,39175000.0,30045000.0
,GeneralAndAdministrativeExpenses,414068000.0,367724000.0,347337000.0,222909000.0,198122000.0,148578000.0,106051000.0,65921000.0,48880000.0,15133000.0,8553000.0,5215000.0
,SellingAndMarketingExpenses,1233173000.0,1146548000.0,891345000.0,683367000.0,583874000.0,434056000.0,315840000.0,197373000.0,123440000.0,70356000.0,36524000.0,20875000.0
,otherExpenses,23483000.0,37200000.0,57280000.0,7706000.0,1308000.0,-385000.0,-2170000.0,77000.0,-400000.0,-110000.0,76000.0,73000.0
,operatingExpenses,3368463000.0,3064178000.0,2450514000.0,1816860000.0,1462527000.0,1052578000.0,738759000.0,445410000.0,274985000.0,147503000.0,84252000.0,56135000.0
,costAndExpenses,4566595000.0,4129436000.0,3285464000.0,2446273000.0,1946072000.0,1427005000.0,1003562000.0,622220000.0,391520000.0,212871000.0,124116000.0,76640000.0
,interestExpense,68806000.0,58685000.0,60209000.0,44549000.0,30103000.0,31932000.0,31060000.0,19618000.0,1363000.0,976000.0,221000.0,0.0
