Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Revenue,20654000.0,17895000.0,18000000.0,17697000.0,18000000.0,36372000.0,36000000.0,52789000.0,53000000.0,000000.0
Revenue Growth,0.154177144453758,-0.00583333333333333,0.01712154602475,-0.0168333333333333,-0.505113823820521,0.0103333333333333,-0.318039743128303,-0.0039811320754717,1,
Cost of Revenue,27388000.0,22269000.0,22000000.0,25585000.0,26000000.0,26103000.0,26000000.0,24319000.0,24000000.0,000000.0
Gross Profit,-6734000.0,-4374000.0,-4000000.0,-7888000.0,-8000000.0,10269000.0,10000000.0,28470000.0,28000000.0,000000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,
SG&A Expense,4757000.0,4222000.0,4000000.0,4503000.0,5000000.0,4261000.0,4000000.0,5815000.0,6000000.0,000000.0
Operating Expenses,182135000.0,21694000.0,22000000.0,20655000.0,21000000.0,18640000.0,19000000.0,17208000.0,17000000.0,000000.0
Operating Income,-188869000.0,-26068000.0,-26000000.0,-28543000.0,-29000000.0,-8371000.0,-8000000.0,11262000.0,11000000.0,000000.0
Interest Expense,8031000.0,4880000.0,4000000.0,3467000.0,3000000.0,1807000.0,1000000.0,1044000.0,1000000.0,000000.0
Earnings before Tax,-197294000.0,-30323000.0,,-32151000.0,,-10844000.0,,8143000.0,,
Income Tax Expense,0.0,-997000.0,-1000000.0,0.0,000000.0,0.0,000000.0,1212000.0,1000000.0,000000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income,-197294000.0,-29326000.0,-29000000.0,-32151000.0,-32000000.0,-10844000.0,-11000000.0,6931000.0,7000000.0,000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income Com,-197294000.0,-29326000.0,-29000000.0,-32151000.0,-32000000.0,-10844000.0,-11000000.0,6931000.0,7000000.0,000000.0
EPS,-31.5,-5.33,-5.30,-15.35,-15.40,-4.7,-4.70,3.4,3.40,
EPS Diluted,-31.5,-5.33,-5.30,-15.35,-15.40,-4.7,-4.70,3.4,3.40,
Weighted Average Shs Out,6263094.0,5499561.0,5000000.0,2093926.0,2000000.0,2320314.0,2000000.0,2031453.0,2000000.0,
Weighted Average Shs Out (Dil),6263094.0,5499561.0,5000000.0,2093926.0,2000000.0,2320314.0,2000000.0,2035040.0,2000000.0,
Dividend per Share,0.3,1.0,,2.8,,9.4,,13.5,,
Gross Margin,-0.326,-0.2444,-0.22222222222222,-0.4457,-0.44444444444444,0.2823,0.27777777777778,0.5393,0.52830188679245,
EBITDA Margin,-8.326,-0.445,-0.44444444444444,-0.714,-0.72222222222222,0.147,0.11111111111111,0.39,0.39622641509434,
EBIT Margin,-9.1635,-1.4218,-1.4444444444444,-1.6208,-1.6111111111111,-0.2485,-0.27777777777778,0.174,0.16981132075472,
Profit Margin,-9.552,-1.639,-1.6111111111111,-1.817,-1.7777777777778,-0.298,-0.30555555555556,0.131,0.13207547169811,
Free Cash Flow margin,-1.0581,-0.8305,,-4.3988,,-1.582,,-2.1992,,
EBITDA,-171965000.0,-7963000.0,-8000000.0,-12631000.0,-13000000.0,5342000.0,4000000.0,20580000.0,21000000.0,000000.0
EBIT,-189263000.0,-25443000.0,-26000000,-28684000.0,-29000000,-9037000.0,-10000000,9187000.0,9000000,0
Consolidated Income,-197294000.0,-29326000.0,-29000000.0,-32151000.0,-32000000.0,-10844000.0,-11000000.0,6931000.0,7000000.0,000000.0
Earnings Before Tax Margin,-9.5523,-1.6945,0,-1.8167,0,-0.2981,0,0.1543,0,
Net Profit Margin,-9.5523,-1.6388,-1.6111111111111,-1.8167,-1.7777777777778,-0.2981,-0.30555555555556,0.1313,0.13207547169811,
