date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-13000000.0,-72900000.0,258400000.0
,depreciationAndAmortization,4000000.0,90000000.0,84700000.0
,deferredIncomeTax,0.0,0.0,0.0
,stockBasedCompensation,0.0,15400000.0,15200000.0
,changeInWorkingCapital,-140600000.0,-10000000.0,15900000.0
,accountsReceivables,3000000.0,79000000.0,75700000.0
,inventory,2000000.0,19000000.0,-22600000.0
,accountsPayables,5000000.0,-47300000.0,-27700000.0
,otherWorkingCapital,126700000.0,267300000.0,277300000.0
,otherNonCashItems,0.0,-11100000.0,900000.0
,netCashProvidedByOperatingActivites,2000000.0,123900000.0,384800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-21000000.0,-54400000.0,-100500000.0
,acquisitionsNet,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,1900000.0
,netCashUsedForInvestingActivites,-1000000.0,-20400000.0,-98600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-46400000.0,-625100000.0
,commonStockIssued,0.0,0.0,303000000.0
,commonStockRepurchased,0.0,-9900000.0,0.0
,dividendsPaid,0.0,0.0,0.0
,otherFinancingActivites,0.0,-2000000.0,-3500000.0
,netCashUsedProvidedByFinancingActivities,0.0,-58300000.0,-325600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1000000.0,45200000.0,-39400000.0
,cashAtEndOfPeriod,106000000.0,223000000.0,177800000.0
,cashAtBeginningOfPeriod,105000000.0,177800000.0,217200000.0
,operatingCashFlow,2000000.0,123900000.0,384800000.0
,capitalExpenditure,0.0,-54400000.0,-100500000.0
,freeCashFlow,2000000.0,69500000.0,284300000.0
