date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,71766000.0,20108000.0,54687000.0,16727000.0,32628000.0,19552000.0,22089000.0,26479000.0,47543000.0,21864000.0,18938000.0,18842000.0
,depreciationAndAmortization,41359000.0,49915000.0,45652000.0,35490000.0,19946000.0,14841000.0,7917000.0,3870000.0,2640000.0,1520000.0,874000.0,404000.0
,deferredIncomeTax,1019000.0,-2025000.0,-6270000.0,12491000.0,1767000.0,-4840000.0,-4897000.0,15848000.0,-31300000.0,253000.0,-293000.0,-234000.0
,stockBasedCompensation,28309000.0,22815000.0,23869000.0,24958000.0,28080000.0,28860000.0,23768000.0,6208000.0,10385000.0,2122000.0,1114000.0,1833000.0
,changeInWorkingCapital,101055000.0,47668000.0,-11309000.0,-41614000.0,-38550000.0,-28312000.0,51943000.0,94576000.0,85120000.0,-6527000.0,-25845000.0,6383000.0
,accountsReceivables,513000.0,-6169000.0,2641000.0,-10015000.0,-13232000.0,-10680000.0,-9741000.0,-4862000.0,-1417000.0,-553000.0,-350000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,8587000.0,8360000.0,6388000.0,12044000.0,10784000.0,2244000.0,10052000.0,10377000.0,6238000.0,5735000.0,2200000.0,2393000.0
,otherWorkingCapital,232141000.0,131086000.0,83418000.0,94727000.0,136341000.0,174891000.0,203203000.0,151260000.0,56684000.0,-28436000.0,-21909000.0,3936000.0
,otherNonCashItems,0.0,0.0,0.0,-6255000.0,1285000.0,4770000.0,200000.0,125000.0,41000.0,22160000.0,0.0,0.0
,netCashProvidedByOperatingActivites,165072000.0,102646000.0,102202000.0,108037000.0,101148000.0,85331000.0,82859000.0,56373000.0,45534000.0,39547000.0,28726000.0,27151000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-2000000.0,0.0,-1000000.0,-50000000.0,0.0,-62000000.0,-10000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-270546000.0,-300350000.0,-115019000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,278351000.0,299967000.0,60595000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,140000.0,-309000.0,-15058000.0,-5057000.0,-855000.0,-288000.0,97000.0,-1594000.0,-197000.0,23000.0,-103000.0,0.0
,netCashUsedForInvestingActivites,-35310000.0,-27234000.0,-12827000.0,-57365000.0,-57192000.0,-71846000.0,-29013000.0,-70086000.0,-4259000.0,-3419000.0,-1219000.0,-2689000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000000.0,-6000000.0,0.0,0.0,0.0
,commonStockIssued,23153000.0,0.0,0.0,0.0,1803000.0,1868000.0,2124000.0,65895000.0,81811000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-24977000.0,-60232000.0,-14811000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-24401000.0,0.0,-104925000.0,0.0,0.0,0.0,0.0,0.0,-36000000.0,-28575000.0,-25900000.0,-20500000.0
,otherFinancingActivites,-4510000.0,-7061000.0,-7268000.0,-10593000.0,-3817000.0,1685000.0,13137000.0,374000.0,-5087000.0,-28575000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-4587000.0,-1696000.0,-109739000.0,-33888000.0,-53535000.0,-4061000.0,24943000.0,66969000.0,46724000.0,-28575000.0,-25900000.0,-20500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-2475000.0,-1307000.0,-2212000.0,12454000.0,-7535000.0,-1573000.0,-691000.0,3000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,122700000.0,72409000.0,-22576000.0,29238000.0,-17114000.0,7851000.0,78098000.0,53259000.0,87999000.0,7553000.0,1607000.0,3962000.0
,cashAtEndOfPeriod,428574000.0,305874000.0,233465000.0,253428000.0,224190000.0,241304000.0,233453000.0,155355000.0,102096000.0,14097000.0,6544000.0,4937000.0
,cashAtBeginningOfPeriod,305874000.0,233465000.0,256041000.0,224190000.0,241304000.0,233453000.0,155355000.0,102096000.0,14097000.0,6544000.0,4937000.0,975000.0
,operatingCashFlow,165072000.0,102646000.0,102202000.0,108037000.0,101148000.0,85331000.0,82859000.0,56373000.0,45534000.0,39547000.0,28726000.0,27151000.0
,capitalExpenditure,-25630000.0,-26081000.0,-34890000.0,-55062000.0,-39959000.0,-14003000.0,-17950000.0,-14068000.0,-4062000.0,-3442000.0,-1116000.0,-747000.0
,freeCashFlow,139442000.0,76565000.0,67312000.0,52975000.0,61189000.0,71328000.0,64909000.0,42305000.0,41472000.0,36105000.0,27610000.0,26404000.0
