date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,4766300000.0,6276200000.0,6800200000.0,6939600000.0,6895700000.0,11256800000.0,11603400000.0,10480300000.0,10221900000.0,10611000000.0,10018900000.0,9857400000.0,11581600000.0,11587100000.0,9316600000.0,8430200000.0,7156400000.0,4787162000.0,4754937000.0,5297760000.0,5764335000.0,5183400000.0,5018400000.0,4850000000.0,6599000000.0,6511800000.0,4888800000.0,4387800000.0,4193100000.0,3914800000.0,3497900000.0,3122300000.0,2878400000.0,2482900000.0,2233500000.0,2038400000.0
,costOfRevenue,3789200000.0,5085300000.0,5544800000.0,5619300000.0,5518900000.0,8792800000.0,9052800000.0,8149800000.0,7889000000.0,8091800000.0,7642900000.0,7462900000.0,8576300000.0,8532400000.0,6798900000.0,6090300000.0,5269600000.0,3951476000.0,3887368000.0,4387309000.0,4275070000.0,3650000000.0,3592400000.0,3528900000.0,5086900000.0,4904200000.0,3625000000.0,3243400000.0,3117000000.0,2945900000.0,2614400000.0,2329500000.0,2132700000.0,1830500000.0,1657500000.0,1502800000.0
,grossProfit,977100000.0,1190900000.0,1255400000.0,1320300000.0,1376800000.0,2464000000.0,2550600000.0,2330500000.0,2332900000.0,2519200000.0,2376000000.0,2394500000.0,3005300000.0,3054700000.0,2517700000.0,2339900000.0,1886800000.0,835686000.0,867569000.0,910451000.0,1489265000.0,1533400000.0,1426000000.0,1321100000.0,1512100000.0,1607600000.0,1263800000.0,1144400000.0,1076100000.0,968900000.0,883500000.0,792800000.0,745700000.0,652400000.0,576000000.0,535600000.0
,grossProfitRatio,0.205001783353964,0.189748573977885,0.184612217287727,0.190255922531558,0.199660658091274,0.218889915428896,0.219814881844976,0.222369588656813,0.228225672330976,0.237414004335124,0.237151783129885,0.242913952969343,0.259489189749257,0.263629380949504,0.270238069682073,0.277561623686271,0.263652115588844,0.174568147056649,0.182456465774415,0.171855840959198,0.258358509697996,0.29582899255315,0.284154312131357,0.27239175257732,0.229140778905895,0.246874904020394,0.258509245622648,0.260814075390856,0.256635901838735,0.247496679268417,0.252580119500272,0.253915382890818,0.259067537520845,0.262757259656047,0.257891202149093,0.262755102040816
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,597000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567635000.0,597823000.0,628600000.0,569800000.0,511100000.0,698300000.0,650000000.0,490900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
