date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-01-01_FY,2011-01-02_FY,2010-01-03_FY,2008-12-28_FY,2007-12-30_FY,2006-12-31_FY,2006-01-01_FY,2005-01-02_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,2000-01-02_FY,1999-01-03_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,revenue,2350098000.0,2477922000.0,2331386000.0,2263420000.0,2179490000.0,1843307000.0,1691620000.0,1522074000.0,1479062000.0,1612900000.0,1270000000.0,1141100000.0,1043000000.0,1024800000.0,860882000.0,612900000.0,614500000.0,617500000.0,568600000.0,562100000.0,535557000.0,438500000.0,312800000.0,206900000.0,137800000.0,99400000.0,105500000.0,62800000.0
,costOfRevenue,1778326000.0,1860758000.0,1755772000.0,1700495000.0,1650281000.0,1363782000.0,1245700000.0,1124865000.0,1089232000.0,1221600000.0,975000000.0,897400000.0,822100000.0,830600000.0,718178000.0,540100000.0,514900000.0,532400000.0,496500000.0,500500000.0,483035000.0,389300000.0,264400000.0,172000000.0,115800000.0,82300000.0,90700000.0,24800000.0
,grossProfit,571772000.0,617164000.0,575614000.0,562925000.0,529209000.0,479525000.0,445920000.0,397209000.0,389830000.0,391300000.0,295000000.0,243700000.0,220900000.0,194200000.0,142704000.0,72800000.0,99600000.0,85100000.0,72100000.0,61500000.0,52522000.0,49200000.0,48400000.0,34900000.0,21900000.0,17100000.0,14800000.0,38000000.0
,grossProfitRatio,0.243297088036329,0.249065144100581,0.246897768108756,0.248705498758516,0.242813226947589,0.260143861006333,0.263605301427034,0.260965629791981,0.263565692310397,0.24260648521297,0.232283464566929,0.213565857505915,0.211792905081496,0.189500390320062,0.165764878345697,0.118779572524066,0.162082994304312,0.137813765182186,0.126802673232501,0.109411136808397,0.0980698599775561,0.112200684150513,0.154731457800512,0.1686805219913,0.158925979680697,0.172032193158954,0.140284360189573,0.605095541401274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,193372000.0,185926000.0,184515000.0,190343000.0,148709000.0,137040000.0,115018000.0,117061000.0,113792000.0,113800000.0,106400000.0,69200000.0,69200000.0,64500000.0,56268000.0,49000000.0,45900000.0,39400000.0,32100000.0,24400000.0,21122000.0,17800000.0,14900000.0,12100000.0,8700000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487778000.0,471547000.0,487778000.0,752902000.0,766142000.0,0.0,491170000.0,435345000.0,0.0,464351000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,328052000.0,316751000.0,310949000.0,314640000.0,263625000.0,243796000.0,211189000.0,211725000.0,205477000.0,199100000.0,162400000.0,115300000.0,106500000.0,103200000.0,78503000.0,66199999.9999999,60700000.0,55300000.0000001,44200000.0,37400000.0,29761000.0,23100000.0,25900000.0,18400000.0,12300000.0,0.0,0.0,0.0
,costAndExpenses,2106378000.0,2177509000.0,2066721000.0,2015135000.0,1913906000.0,1607578000.0,1456889000.0,1336590000.0,1294709000.0,1420700000.0,1137400000.0,1012700000.0,928600000.0,933800000.0,796681000.0,606300000.0,575600000.0,587700000.0,540700000.0,537900000.0,512796000.0,412400000.0,290300000.0,190400000.0,128100000.0,92200000.0,101000000.0,61300000.0
,interestExpense,126837000.0,151024000.0,150103000.0,148024000.0,128718000.0,106136000.0,87368000.0,83004000.0,82189000.0,-68300000.0,-34400000.0,19709000.0,30202000.0,36051000.0,0.0,23016000.0,17896000.0,-11200000.0,3737000.0,700000.0,0.0,2500000.0,2400000.0,1500000.0,2200000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
