Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,651067.0,65895.0,0.0
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,-1808310.0,-436975.0,-880589.0
Capital Expenditure,-1579842.0,-472515.0,0.0
Acquisitions and disposals,-23931.0,0.0,-421603.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-1603773.0,-472515.0,-421603.0
Issuance (repayment) of debt,3813928.0,137183.0,500000.0
Issuance (buybacks) of shares,0.0,0.0,1350000.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,3478610.0,161074.0,2178397.0
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,66527.0,-748416.0,876205.0
Free Cash Flow,-3388152.0,-909490.0,-880589.0
Net Cash/Marketcap,-0.19,-0.19,-0.19
