date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-109639000.0,15324000.0,-6516000.0,-89074000.0,-132646000.0,72322000.0,-462866000.0,-591116000.0,-112198000.0,-54924000.0,-97467000.0,-74923000.0,-68012000.0,-27925000.0,23623000.0,18719000.0,370000.0
,depreciationAndAmortization,96815000.0,95772000.0,90438000.0,77498000.0,77390000.0,77247000.0,86146000.0,90592000.0,69801000.0,53722000.0,0.0,21862000.0,26956000.0,21246000.0,6973000.0,3044000.0,1959000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,-6317000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332000.0,-554000.0,-17720000.0,2422000.0,-4777000.0
,stockBasedCompensation,5670000.0,5700000.0,6995000.0,5088000.0,4858000.0,2955000.0,3400000.0,2127000.0,793000.0,1995000.0,878000.0,9947000.0,12482000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-9417000.0,37379000.0,-13272000.0,110413000.0,-65780000.0,-34111000.0,24245000.0,547937000.0,-584504000.0,-46530000.0,587000.0,46061000.0,-94472000.0,15411000.0,-6632000.0,-11648000.0,-3342000.0
,accountsReceivables,-8494000.0,-4299000.0,-3792000.0,-2983000.0,-2196000.0,-3454000.0,-2200000.0,-4321000.0,-2875000.0,-978000.0,-5201000.0,1405000.0,-128000.0,0.0,0.0,0.0,0.0
,inventory,2176000.0,-1664000.0,-486000.0,50000.0,4571000.0,1118000.0,4187000.0,3124000.0,-1018000.0,4252000.0,-1402000.0,4189000.0,-12416000.0,-36445000.0,-18090000.0,-9634000.0,3187000.0
,accountsPayables,-197000.0,-173000.0,3979000.0,-1114000.0,102000.0,702000.0,-1725000.0,-2595000.0,3431000.0,6773000.0,-155000.0,-8584000.0,6825000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-4202000.0,200000.0,-37179000.0,-23907000.0,-134320000.0,-68540000.0,-34429000.0,-58674000.0,-606611000.0,-22107000.0,24423000.0,23836000.0,-22225000.0,72247000.0,56836000.0,1603000.0,-3019000.0
,otherNonCashItems,35512000.0,34062000.0,3672000.0,16209000.0,20208000.0,27477000.0,27950000.0,72359000.0,37719000.0,-75245000.0,30913000.0,17078000.0,2326000.0,34105000.0,8224000.0,898000.0,941000.0
,netCashProvidedByOperatingActivites,22215000.0,3048000.0,5920000.0,13857000.0,8813000.0,2162000.0,3981000.0,-6462000.0,6874000.0,-5503000.0,-23338000.0,-18423000.0,-30585000.0,-7669000.0,14571000.0,13694000.0,-4849000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5157000.0,-4594000.0,-7349000.0,-5525000.0,-9385000.0,-5523000.0,-4673000.0,-1651000.0,-781000.0,-2594000.0,-7286000.0,-324098000.0,-286086000.0,-169989000.0,-107544000.0,-9885000.0,-3927000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,-2000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-7317000.0,-3342000.0,-7032000.0,-11910000.0,-13235000.0,-25195000.0,-14604000.0,-34834000.0,-56679000.0,-10436000.0,-196995000.0,14229000.0,28145000.0,-11995000.0,-52581000.0,0.0,-88000.0
,netCashUsedForInvestingActivites,-14536000.0,-11491000.0,-17401000.0,-20776000.0,-24616000.0,-33478000.0,-19277000.0,-37119000.0,-58010000.0,-99419000.0,-205391000.0,-311692000.0,-258581000.0,-183378000.0,-160316000.0,-10141000.0,-4015000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3373000.0,-261029000.0,-77866000.0,-75755000.0,-32835000.0,-6450000.0,-4046000.0,-19794000.0,0.0,0.0,0.0,-75472000.0,0.0,0.0,0.0,0.0,-10000000.0
,commonStockIssued,638000.0,4282000.0,59946000.0,160994000.0,51337000.0,39726000.0,9547000.0,86414000.0,244000.0,0.0,74000.0,1000000.0,520000.0,152657000.0,163989000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-1074000.0,-6166000.0,-276000.0,-21449000.0,0.0,0.0,-164000.0,-19391000.0,-1033000.0,12954000.0,-70000.0,0.0,-14037000.0,-8691000.0,6807000.0,4150000.0,7000000.0
,netCashUsedProvidedByFinancingActivities,1164000.0,-7923000.0,-18196000.0,63790000.0,18502000.0,33276000.0,5337000.0,48972000.0,52386000.0,82638000.0,194670000.0,386756000.0,252533000.0,193489000.0,170601000.0,2899000.0,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,52000.0,4000.0,-112000.0,195000.0,55000.0,-1605000.0,-328000.0,225000.0,591000.0,-782000.0,-805000.0,-1117000.0,11436000.0,-8586000.0,-1428000.0,488000.0,168000.0
