Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-43448.0,-43448.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-200007125.0,
Investing Cash flow,-200007125.0,-200007125.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,198525000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,201326144.0,201326144.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,1275571.0,
Free Cash Flow,-43448.0,
Net Cash/Marketcap,0.0,
