date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,23916667000000.0,0.0,0.0,23260000000.0,22755000000.0,22212000000.0,23469000000.0,21311000000.0,24578000000.0,21990000000.0,21331000000.0,19649000000.0,0.0,18660000000.0,17756156000000.0,17155694000000.0,17068000000.0,16067779000000.0,16393001180666.0,15951379802550.0,13537294530000.0,11749716861250.0,9915393640940.0
,costOfRevenue,13911793000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11686120992468.0,12236530910400.0,7128950677500.0,6578482438904.0,5444653341542.0
,grossProfit,10004874000000.0,0.0,0.0,23260000000.0,22755000000.0,22212000000.0,23469000000.0,21311000000.0,24578000000.0,21990000000.0,21331000000.0,19649000000.0,0.0,18660000000.0,17756156000000.0,17155694000000.0,17068000000.0,16067779000000.0,4706880188198.0,3714848892150.0,6408343852500.0,5171234422346.0,4470740299398.0
,grossProfitRatio,0.418322252009446,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.287127423241409,0.232885740176291,0.473384385506164,0.440115662650602,0.450888836217113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,156940000000.0,165000000.0,177000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-151106000000.0,-140156000000.0,0.0,-182983000000.0,172241992824.0,137976347250.0,140328697500.0,0.0,0.0
,GeneralAndAdministrativeExpenses,207373000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033570580906.0,1051248360000.0,1994943105000.0,1577349941624.0,795299646384.0
,SellingAndMarketingExpenses,3435054000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166310794724.0,166885677150.0,0.0,0.0,0.0
,otherExpenses,2992000000.0,23714000000.0,22158000000.0,22478000000.0,21781000000.0,21623000000.0,24390000000.0,0.0,0.0,0.0,19156000000.0,18683000000.0,14435000000.0,16915000000.0,15528026000000.0,14865239000000.0,14588000000.0,14428326000000.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,9561521000000.0,8904465000000.0,9518375000000.0,9298433000000.0,9260878000000.0,10985226000000.0,10610114000000.0,14356034000000.0,8169085000000.0,14265310000000.0,13747236000000.0,14089569000000.0,12818299652643.0,11135552170563.5,12634251028616.6,10837000000000.0,6737500000000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,22751987000000.0,23879000000.0,22335000000.0,22478000000.0,21781000000.0,21623000000.0,24390000000.0,0.0,0.0,0.0,19156000000.0,18683000000.0,14435000000.0,16915000000.0,15376920000000.0,14725083000000.0,14588000000.0,14245343000000.0,14054922889646.0,14007884397000.0,12486725632500.0,10984484699019.0,9332549928460.0
,interestExpense,263579000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503244000000.0,616540000000.0,0.0,705540000000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,3634285000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3112991000000.0,3287343000000.0,3663037000000.0,0.0,0.0,0.0,0.0,0.0,951008303354.0,381077530500.0,3222503152500.0,2828652318491.0,3092596940534.0
,EBITDA,4798965000000.0,0.0,0.0,546000000.0,795000000.0,484000000.0,-941000000.0,1291000000.0,0.0,0.0,3115166000000.0,3288309000000.0,3664168000000.0,1745000000.0,2379236000000.0,2430611000000.0,2481000000.0,1822436000000.0,3289086594374.0,2324572936050.0,4273072050000.0,3593884480722.0,3675440653014.0
,EBITDARatio,0.200653586053609,0.0,0.0,0.0234737747205503,0.034937376400791,0.021790023410769,-0.0400954450551792,0.0605790436863592,0.0,0.0,146.039379307112,167.35248613161,0.0,0.0935155412647374,0.133994993060435,0.141679549658557,0.145359737520506,0.113421774098337,0.200639685078115,0.14572864321608,0.315651849084796,0.305869879518072,0.370680255984831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,1164680000000.0,0.0,0.0,546000000.0,795000000.0,484000000.0,-941000000.0,1291000000.0,0.0,0.0,2175000000.0,966000000.0,1131000000.0,1745000000.0,2379236000000.0,2430611000000.0,2481000000.0,1822436000000.0,2338078291020.0,1943495405550.0,1050568897500.0,765232162231.0,582843712480.0
,operatingIncomeRatio,0.0486974209240778,0.0,0.0,0.0234737747205503,0.034937376400791,0.021790023410769,-0.0400954450551792,0.0605790436863592,0.0,0.0,0.101964277342834,0.0491628072675454,0.0,0.0935155412647374,0.133994993060435,0.141679549658557,0.145359737520506,0.113421774098337,0.142626616398805,0.121838701705248,0.077605528576765,0.0651277108433735,0.058781701825077
,totalOtherIncomeExpensesNet,-216908000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194187425454.0,432325888050.0,806573955000.0,-194903737043.0,-287191538972.0
,incomeBeforeTax,975056000000.0,0.0,0.0,817000000.0,1123000000.0,711000000.0,-1208000000.0,1609000000.0,0.0,0.0,1565000000.0,718000000.0,407000000.0,1171000000.0,0.0,1747316000000.0,0.0,1581060000000.0,2688137602882.0,1534822605600.0,1537294560000.0,428086069740.0,290599294549.0
,incomeBeforeTaxRatio,0.0407688914178552,0.0,0.0,0.0351246775580396,0.0493517908152055,0.0320097244732577,-0.0514721547573395,0.075500915020412,0.0,0.0,0.0733673995593268,0.0365412998116953,0.0,0.0627545551982851,0.0,0.101850499315271,0.0,0.0983994116423931,0.163980809447657,0.0962187989125958,0.113559955173702,0.036433734939759,0.029307892865608
,incomeTaxExpense,271664000000.0,0.0,0.0,271000000.0,328000000.0,227000000.0,-266000000.0,318000000.0,0.0,0.0,372000000.0,108000000.0,0.0,0.0,0.0,0.0,0.0,0.0,741281138538.0,421813404450.0,551201010000.0,45979614898.0,100235017489.0
