date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-07-31_FY,2011-07-31_FY,2010-07-31_FY,2009-07-31_FY,2008-07-31_FY,2007-07-31_FY,2006-07-31_FY,2005-07-31_FY,2004-07-31_FY,2003-07-31_FY,2002-07-31_FY,2001-07-31_FY,2000-07-31_FY,1999-07-31_FY,1998-07-31_FY,1997-07-31_FY,1996-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-78208000.0,-84305000.0,-88326000.0,-64028000.0,-66374000.0,-45498000.0,-30933000.0,-15281821.0,-3400000.0,-5311000.0,-378761.0,641747.0,-714197.0,-1680342.0,-1924243.0,-3030621.0,-2090800.0,-909421.0,-1375827.0,-400733.0,-1546710.0,-922536.0,70432.0,2878451.0,1000000.0,1100000.0
,depreciationAndAmortization,2997000.0,2602000.0,2561000.0,2196000.0,2351000.0,1792000.0,888000.0,362495.0,40000.0,205000.0,255895.0,261487.0,270088.0,294226.0,313711.0,315978.0,305684.0,282793.0,293318.0,170379.0,638426.0,895797.0,702532.0,328009.0,200000.0,100000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24833.0,18474.0,20395.0,-420408.0,-45672.0,430043.0,100000.0,-100000.0
,stockBasedCompensation,16107000.0,12618000.0,14422000.0,13933000.0,8775000.0,8388000.0,9624000.0,3828478.0,532705000.0,782000.0,90021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-38672000.0,-56187000.0,56176000.0,39289000.0,-54433000.0,64530000.0,23308995.0,29406005.0,-2050670.0,12297171.0,678055.0,-109670.0,-318758.0,-272412.0,-1545403.0,-2711837.0,-1623884.0,-1148835.0,-738714.0,19647.0,-1375219.0,-466935.0,-268501.0,2635965.0,6900000.0,-100000.0
,accountsReceivables,1592000.0,-1362000.0,86000.0,-1912000.0,43000.0,1000.0,-54000.0,739499.0,-12952000.0,591000.0,411477.0,0.0,6334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-1356000.0,-3655000.0,-4223000.0,-7759000.0,0.0,0.0,0.0,0.0,10263000.0,20000.0,2342.0,20825.0,43823.0,10587.0,-81968.0,1357.0,3043.0,-30287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-1006000.0,988000.0,-748000.0,1064000.0,-1242000.0,329000.0,1336000.0,204151.0,236621000.0,27000.0,0.0,-7322.0,-94171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,75018000.0,113690000.0,169877000.0,113701000.0,74412000.0,128845000.0,64315000.0,41006005.0,11600000.0,13650670.0,1353499.0,675444.0,785114.0,1103872.0,1376284.0,2921687.0,5633524.0,7257408.0,8406243.0,9144957.0,9125310.0,10500529.0,10967464.0,11235965.0,8600000.0,1700000.0
,otherNonCashItems,11168000.0,9969000.0,6849000.0,0.0,0.0,0.0,0.0,3915792.0,870000.0,0.0,-378761.0,680284.0,195720.0,305135.0,281.0,86601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,100000.0
,netCashProvidedByOperatingActivites,-50394000.0,-64794000.0,-67756000.0,-55746000.0,-53408000.0,-35126000.0,-18785000.0,-9748951.0,-2140000.0,-816000.0,448481.0,-789600.0,-225656.0,-963728.0,-1535667.0,-2640956.0,-1599569.0,-1215343.0,151158.0,-665165.0,-63735.0,410605.0,1038289.0,3660989.0,900000.0,1100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1362000.0,-330000.0,-998000.0,-2966000.0,-2409000.0,-3656000.0,0.0,-1157564.0,-160000.0,0.0,-75336.0,-49203.0,0.0,-117641.0,0.0,-98794.0,-84189.0,-128469.0,-109164.0,-18260.0,-68577.0,-6995.0,-42556.0,-191915.0,-100000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-46933000.0,-50226000.0,-120556000.0,-82333000.0,-74075000.0,-12418000.0,-7657000.0,-12013616.0,0.0,-150000.0,-75000.0,-75000.0,0.0,0.0,0.0,0.0,-75000.0,0.0,-75000.0,-75000.0,-75000.0,0.0,-75000.0,-126069.0,0.0,0.0
,salesMaturitiesOfInvestments,61901000.0,103367000.0,101416000.0,59571000.0,26916000.0,13399000.0,6218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75000.0,-75000.0,-75000.0,179827.0,89587.0,-134709.0,-32235.0,-72218.0,-529645.0,-250503.0,-912431.0,-1106504.0,-600000.0,-100000.0
,netCashUsedForInvestingActivites,13606000.0,52811000.0,-20138000.0,-25728000.0,-49568000.0,-2675000.0,-3372000.0,-13171180.0,-160000.0,-246000.0,-150336.0,-124203.0,-145368.0,-122641.0,-75000.0,81033.0,-69602.0,-263178.0,-216399.0,-153142.0,-669422.0,-256958.0,-1029987.0,-1424488.0,-700000.0,-100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-366000.0,0.0,0.0,0.0,-13000.0,-147000.0,-107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
