date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,7476000000.0,8514000000.0,8618000000.0,10782200000.0,11341200000.0,11070900000.0,8758500000.0,9615300000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1974000000.0,2151000000.0,2039000000.0,2178900000.0,2198600000.0,3561700000.0,2686700000.0,3155000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,6904000000.0,6640000000.0,6844000000.0,8778000000.0,8240000000.0,10186000000.0,8000000000.0,9009000000.0
,costAndExpenses,6916000000.0,7904000000.0,8090000000.0,11395600000.0,10756700000.0,10285700000.0,8000400000.0,9009300000.0
,interestExpense,214000000.0,262000000.0,264000000.0,389900000.0,468700000.0,399200000.0,365400000.0,260100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,98600000.0,92500000.0,90600000.0,85400000.0,90500000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0749063670411985,0.0716466995536763,0.0612671153399861,-0.0568900595425794,0.0515377561457341,0.0709246764039057,0.086555917109094,0.0630245546160806
,totalOtherIncomeExpensesNet,465000000.0,447000000.0,371000000.0,361100000.0,406900000.0,432800000.0,433000000.0,378500000.0
,incomeBeforeTax,560000000.0,610000000.0,528000000.0,-613400000.0,584500000.0,785200000.0,758100000.0,606000000.0
,incomeBeforeTaxRatio,0.0749063670411985,0.0716466995536763,0.0612671153399861,-0.0568900595425794,0.0515377561457341,0.0709246764039057,0.086555917109094,0.0630245546160806
,incomeTaxExpense,-205000000.0,55000000.0,740000000.0,-214700000.0,45900000.0,-1752200000.0,-32500000.0,-5200000.0
,netIncome,-351000000.0,875000000.0,-2992000000.0,-428000000.0,408300000.0,2299700000.0,600500000.0,473000000.0
,netIncomeRatio,-0.0469502407704655,0.102771905097486,-0.347180320259921,-0.0396950529576524,0.0360014813247275,0.207724755891572,0.0685619683735799,0.0491924328934095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.48936170212766,5.36,-16.25,-2.13,1.81,9.09,2.4,1.843
,EPSDiluted,-2.38775510204082,5.2,-16.25,-2.13,1.8,9.02,2.38,1.843
,weightedAverageShsOut,141000000.0,163000000.0,184100000.0,200800000.0,225400000.0,253100000.0,250600000.0,256666667.0
,weightedAverageShsOutDil,147000000.0,168200000.0,184100000.0,200800000.0,227400000.0,255100000.0,251800000.0,256666667.0
