date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,1648016000.0,1573912000.0,1444519000.0,1332152000.0,1015542000.0,926867000.0,1011639000.0,949284000.0,879012000.0,793831000.0,689451000.0,583115000.0,624162000.0,517374000.0,409644000.0,311110000.0,252643000.0,224258000.0,162505000.0,127108000.0,153163000.0,123601000.0,91000000.0,69300000.0,39800000.0,21000000.0
,costOfRevenue,561952000.0,531768000.0,496815000.0,468673000.0,337733000.0,303582000.0,375583000.0,364948000.0,351223000.0,307305000.0,269075000.0,237205000.0,238746000.0,206342000.0,174214000.0,136226000.0,114308000.0,106315000.0,84747000.0,73767000.0,74802000.0,45087000.0,38700000.0,30400000.0,16800000.0,10000000.0
,grossProfit,1086064000.0,1042144000.0,947704000.0,863479000.0,677809000.0,623285000.0,636056000.0,584336000.0,527789000.0,486526000.0,420376000.0,345910000.0,385416000.0,311032000.0,235430000.0,174884000.0,138335000.0,117943000.0,77758000.0,53341000.0,78361000.0,78514000.0,52300000.0,38900000.0,23000000.0,11000000.0
,grossProfitRatio,0.659013019291075,0.662136129593014,0.656068905981853,0.648183540616987,0.667435714130976,0.672464334149344,0.62873811705559,0.615554459993005,0.600434351294408,0.61288359865009,0.609725709296237,0.593210601682344,0.617493535332173,0.601174392219168,0.574718536094755,0.562129150461252,0.547551287785531,0.525925496526322,0.478496046275499,0.419651005444189,0.511618341244295,0.63522139788513,0.574725274725275,0.561327561327561,0.577889447236181,0.523809523809524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,218182000.0,193718000.0,183830000.0,181107000.0,141528000.0,128485000.0,148560000.0,136563000.0,121387000.0,109127000.0,97083000.0,77382000.0,78445000.0,59632000.0,44880000.0,30896000.0,24866000.0,22833000.0,17925000.0,19190000.0,21498000.0,13825000.0,10800000.0,7400000.0,0.0,0.0
,GeneralAndAdministrativeExpenses,180733000.0,168022000.0,153323000.0,129071000.0,116569000.0,90349000.0,85602000.0,88304000.0,96134000.0,95650000.0,76345000.0,72791000.0,107248000.0,205681000.0,155653000.0,110571000.0,93441000.0,83541000.0,64300000.0,62189000.0,61364000.0,42151000.0,33400000.0,21800000.0,17600000.0,10400000.0
,SellingAndMarketingExpenses,445102000.0,399304000.0,370659000.0,361328000.0,268349000.0,225817000.0,264207000.0,248618000.0,230162000.0,199044000.0,178407000.0,141526000.0,147879000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
