date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-582739000.0,-363304000.0,-218240000.0,-639716000.0,141431000.0,-96072000.0,-9590000.0,-48460000.0,-183112000.0,42946000.0,-87523000.0,-868189000.0,-2851083000.0,245990000.0,153072000.0,61573000.0,-155380000.0,-34993000.0
,depreciationAndAmortization,269421000.0,309324000.0,318952000.0,325991000.0,344124000.0,375962000.0,406243000.0,403170000.0,399264000.0,432035000.0,413588000.0,439647000.0,472350000.0,399483000.0,407730000.0,400639000.0,388217000.0,379640000.0
,deferredIncomeTax,-80336000.0,24067000.0,14395000.0,-311112000.0,31333000.0,3539000.0,-33569000.0,-31216000.0,-157315000.0,-1393000.0,-14362000.0,-132341000.0,-247445000.0,34915000.0,39527000.0,-5689000.0,39132000.0,23944000.0
,stockBasedCompensation,13235000.0,15770000.0,8517000.0,9590000.0,10238000.0,8359000.0,7743000.0,7725000.0,10589000.0,10913000.0,12337000.0,12104000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,223187000.0,-264617000.0,-30676000.0,-383057000.0,43119000.0,294478000.0,-102718000.0,-239157000.0,-28750000.0,-51812000.0,-84895000.0,106665000.0,76972000.0,337409000.0,241923000.0,-251702000.0,135718000.0,67966000.0
,accountsReceivables,109014000.0,-12555000.0,-74598000.0,-39790000.0,30308000.0,-56580000.0,-38618000.0,43429000.0,-46294000.0,15829000.0,-47113000.0,68002000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,9967000.0,-13519000.0,29247000.0,-4126000.0,-3797000.0,30642000.0,-4460000.0,-10407000.0,24541000.0,48911000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,244554000.0,21367000.0,285984000.0,316660000.0,699717000.0,656598000.0,362120000.0,464838000.0,703995000.0,732745000.0,784557000.0,869452000.0,762787000.0,685815000.0,348406000.0,106483000.0,358185000.0,222467000.0
,otherNonCashItems,375691000.0,5122000.0,9174000.0,5817000.0,79505000.0,-4381000.0,-9590000.0,10750000.0,11075000.0,2324000.0,34376000.0,23237000.0,3261192000.0,19895000.0,13867000.0,0.0,156240000.0,-3098000.0
,netCashProvidedByOperatingActivites,-137808000.0,214526000.0,187275000.0,147588000.0,310293000.0,298933000.0,348423000.0,414640000.0,355138000.0,517218000.0,525217000.0,441264000.0,603624000.0,694430000.0,538541000.0,510088000.0,492495000.0,433459000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-120370000.0,-221152000.0,-211079000.0,-224238000.0,-229772000.0,-218332000.0,-231169000.0,-206187000.0,-275577000.0,-291050000.0,-195273000.0,-180886000.0,-358335000.0,-275690000.0,-233882000.0,-208156000.0,-271018000.0,-249282000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-24701000.0,0.0,0.0,-4721000.0,-13179000.0,-1841000.0,-3811000.0,-96498000.0,-69059000.0,-242418000.0,-99605000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2998000.0,-26000.0,-659000.0,0.0,-99000.0,-7533000.0,-821000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,781000.0,0.0,15834000.0,0.0,0.0,0.0,0.0,0.0,1934000.0,962000.0,7292000.0,1371000.0,12076000.0,0.0
,otherInvestingActivites,214891000.0,1110000.0,7487000.0,48337000.0,780490000.0,-14692000.0,8904000.0,28508000.0,46550000.0,5295000.0,-1591000.0,24831000.0,27081000.0,-11922000.0,-20002000.0,-54882000.0,-44183000.0,19941000.0
,netCashUsedForInvestingActivites,94521000.0,-220042000.0,-203592000.0,-175901000.0,551499000.0,-257725000.0,-206431000.0,-177679000.0,-233748000.0,-298934000.0,-198705000.0,-162864000.0,-425844000.0,-356368000.0,-489010000.0,-361371000.0,-310658000.0,-230162000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-94971000.0,-5716036000.0,-632000.0,-1657000.0,-4434000.0,-3905000.0,-3730000.0,-11441000.0,-2704154000.0,-24250000.0,-320777000.0,-2509277000.0,0.0,0.0,0.0,0.0,-105207000.0,-190077000.0
,commonStockIssued,0.0,333419000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4261000.0,10780000.0,2176000.0,166000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-405000.0,-740000.0,-30678000.0,-332824000.0,-755538000.0,0.0,-175022000.0,-200010000.0,-2170396000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,513655000.0,5603366000.0,71996000.0,-45032000.0,33473000.0,202959000.0,-82557000.0,-272942000.0,4769001000.0,-274494000.0,6314000.0,2740933000.0,-237101000.0,-316531000.0,-55341000.0,-77716000.0,-76799000.0,-32414000.0
,netCashUsedProvidedByFinancingActivities,418279000.0,220009000.0,40686000.0,-379513000.0,-726499000.0,199054000.0,-261309000.0,-484393000.0,-105549000.0,-298744000.0,-314463000.0,231656000.0,-232840000.0,-305751000.0,-53165000.0,-77550000.0,-182006000.0,-222491000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
