date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2010-01-20_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,284200000.0,358700000.0,292300000.0,256300000.0,247600000.0,183100000.0,222000000.0,323600000.0,185000000.0,208700000.0,899000000.0,94000000.0,94800000.0,252400000.0,653400000.0,-625000000.0,-445994000.0,-174470000.0,-434557000.0,-270094000.0,202387000.0,278465000.0,76517000.0,46558000.0,330608000.0,220818000.0,78949000.0,53225000.0,6700000.0,29700000.0,22400000.0,12900000.0,8100000.0
,depreciationAndAmortization,243000000.0,218700000.0,199700000.0,183800000.0,172600000.0,139700000.0,107700000.0,94700000.0,82500000.0,78800000.0,76400000.0,0.0,70900000.0,97000000.0,85300000.0,166500000.0,208133000.0,199490000.0,200195000.0,205700000.0,375270000.0,360847000.0,374248000.0,344591000.0,250010000.0,188966000.0,121195000.0,75588000.0,-36500000.0,-25500000.0,-14700000.0,-11100000.0,-7100000.0
,deferredIncomeTax,52400000.0,40000000.0,-9100000.0,75600000.0,132900000.0,127100000.0,97400000.0,6400000.0,102700000.0,36500000.0,-738500000.0,0.0,4100000.0,3700000.0,8000000.0,33200000.0,17497000.0,-5339000.0,-25556000.0,0.0,192226000.0,96448000.0,-5850000.0,-43410000.0,12520000.0,13525000.0,938000.0,-1199000.0,-6600000.0,4700000.0,3200000.0,1800000.0,600000.0
,stockBasedCompensation,29500000.0,114400000.0,85900000.0,47700000.0,27400000.0,26200000.0,23900000.0,24800000.0,24100000.0,20300000.0,16400000.0,0.0,13400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,196500000.0,45200000.0,-195100000.0,5800000.0,6600000.0,-150000000.0,53500000.0,-67100000.0,258100000.0,30900000.0,11900000.0,200000.0,98300000.0,269600000.0,48200000.0,-145731000.0,-248924000.0,-152281000.0,658536000.0,-1870359000.0,329255000.0,195493000.0,-93216000.0,379176000.0,22776000.0,216501000.0,108793000.0,47081000.0,1500000.0,4600000.0,54900000.0,38700000.0,-12700000.0
,accountsReceivables,-38100000.0,-22900000.0,7000000.0,-83900000.0,-127500000.0,-134100000.0,-91600000.0,-55100000.0,-51300000.0,-37100000.0,-23700000.0,0.0,-17800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19500000.0,-31000000.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14300000.0,0.0,0.0,0.0,0.0
,accountsPayables,13600000.0,-6100000.0,6600000.0,7500000.0,6300000.0,900000.0,5400000.0,6400000.0,-4400000.0,800000.0,-1300000.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12900000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,231300000.0,34800000.0,-10400000.0,184700000.0,178900000.0,172300000.0,322300000.0,268800000.0,335900000.0,77800000.0,46900000.0,35000000.0,34800000.0,-63500000.0,-333100000.0,-381300000.0,-235569000.0,13355000.0,165636000.0,-492900000.0,1377459000.0,1048204000.0,852711000.0,945927000.0,566751000.0,543975000.0,327474000.0,218681000.0,171600000.0,170100000.0,165500000.0,110600000.0,71900000.0
,otherNonCashItems,13100000.0,-7300000.0,13200000.0,12100000.0,-3400000.0,13700000.0,-9700000.0,9300000.0,5600000.0,0.0,946100000.0,0.0,71100000.0,-49500000.0,54400000.0,536000000.0,358210000.0,344212000.0,794474000.0,0.0,383144000.0,204065000.0,552776000.0,729987000.0,151810000.0,143794000.0,90580000.0,35622000.0,72800000.0,52300000.0,29300000.0,22100000.0,14300000.0
,netCashProvidedByOperatingActivites,704700000.0,635300000.0,762400000.0,657200000.0,605500000.0,484800000.0,444900000.0,470300000.0,411500000.0,342700000.0,331000000.0,261000000.0,406100000.0,227200000.0,230700000.0,-120400000.0,1561000.0,413915000.0,603413000.0,0.0,670394000.0,796764000.0,704511000.0,636132000.0,415848000.0,367656000.0,217282000.0,132050000.0,52300000.0,31200000.0,25700000.0,28100000.0,3600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-396000000.0,-372400000.0,-254500000.0,-225800000.0,-177700000.0,-128400000.0,-170900000.0,-195200000.0,-140800000.0,-100300000.0,0.0,-69000000.0,0.0,-74200000.0,-39400000.0,-99200000.0,-94045000.0,0.0,0.0,0.0,-440032000.0,-583639000.0,-474115000.0,-714212000.0,-346141000.0,-172962000.0,-145820000.0,-123575000.0,-110800000.0,-86200000.0,-72000000.0,-37500000.0,-20000000.0
,acquisitionsNet,-1000000.0,-232000000.0,-144000000.0,-39000000.0,-48000000.0,-985000000.0,-695000000.0,-18000000.0,-3000000.0,-5000000.0,-34000000.0,-34000000.0,0.0,-15000000.0,1170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-8700000.0,-32900000.0,-13300000.0,-8500000.0,-1300000.0,-7100000.0,-3500000.0,-9200000.0,-9100000.0,-19300000.0,-70700000.0,0.0,-10200000.0,-4800000.0,-23000000.0,-104200000.0,-91240000.0,-68127000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000000.0,-4900000.0,-26300000.0,0.0,0.0
