date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,2146000000.0,1839900000.0,1717400000.0,1599100000.0,1509100000.0,1399800000.0,1421400000.0,1368400000.0,1266400000.0,1192300000.0,1104700000.0,1055700000.0,1051100000.0,1020100000.0,913300000.0,699700000.0,541600000.0,490700000.0,419700000.0,396900000.0,430100000.0,469100000.0,449700000.0,452500000.0,458800000.0,412900000.0,365100000.0
,costOfRevenue,1379000000.0,1234200000.0,1172000000.0,1086500000.0,1008000000.0,944000000.0,973600000.0,933700000.0,878700000.0,853000000.0,786600000.0,752100000.0,748500000.0,728300000.0,651500000.0,507100000.0,385700000.0,334900000.0,302100000.0,280800000.0,289700000.0,289100000.0,282200000.0,288500000.0,302000000.0,265100000.0,225900000.0
,grossProfit,767000000.0,605700000.0,545400000.0,512600000.0,501100000.0,455800000.0,447800000.0,434700000.0,387700000.0,339300000.0,318100000.0,303600000.0,302600000.0,291800000.0,261800000.0,192600000.0,155900000.0,155800000.0,117600000.0,116100000.0,140400000.0,180000000.0,167500000.0,164000000.0,156800000.0,147800000.0,139200000.0
,grossProfitRatio,0.357409133271202,0.329202674058373,0.317573075579364,0.320555312363204,0.332052216552912,0.325617945420774,0.315041508372028,0.317670271850336,0.306143398610234,0.284576029522771,0.28795148003983,0.287581699346405,0.287888878317953,0.28605038721694,0.286652797547356,0.275260826068315,0.287850812407681,0.317505604238842,0.280200142959257,0.292517006802721,0.326435712624971,0.383713493924536,0.372470535912831,0.362430939226519,0.341761115954664,0.357955921530637,0.38126540673788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,46000000.0,38900000.0,40300000.0,39100000.0,36800000.0,34100000.0,38500000.0,37900000.0,33200000.0,29100000.0,23900000.0,19900000.0,18700000.0,16100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,302000000.0,272700000.0,262900000.0,242600000.0,237700000.0,243900000.0,228700000.0,234900000.0,218100000.0,191100000.0,187700000.0,177700000.0,159300000.0,152500000.0,155900000.0,120300000.0,105200000.0,111000000.0,82600000.0,73400000.0,67700000.0,77900000.0,70500000.0,70200000.0,72800000.0,69900000.0,69000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,12000000.0,-100000.0,6700000.0,-2000000.0,-27700000.0,-60100000.0,200000.0,500000.0,5400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,-1000000.0,301100000.0,297500000.0,275000000.0,272900000.0,276500000.0,265600000.0,272800000.0,251300000.0,220200000.0,211600000.0,197600000.0,178000000.0,168600000.0,160800000.0,121700000.0,106700000.0,94300000.0,81000000.0,71900000.0,104700000.0,113600000.0,102800000.0,102100000.0,103500000.0,99500000.0,92100000.0
,costAndExpenses,1378000000.0,1535300000.0,1469500000.0,1361500000.0,1280900000.0,1220500000.0,1239200000.0,1206500000.0,1130000000.0,1073200000.0,998200000.0,949700000.0,926500000.0,896900000.0,812300000.0,628800000.0,492400000.0,429200000.0,383100000.0,352700000.0,394400000.0,402700000.0,385000000.0,390600000.0,405500000.0,364600000.0,318000000.0
,interestExpense,-8000000.0,8500000.0,8400000.0,7800000.0,8100000.0,14100000.0,16500000.0,17000000.0,16700000.0,18200000.0,16800000.0,15200000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,104000000.0,103400000.0,104400000.0,96700000.0,90700000.0,89900000.0,90000000.0,85200000.0,76900000.0,75700000.0,73200000.0,68100000.0,60600000.0,56600000.0,52700000.0,47400000.0,33200000.0,33000000.0,33000000.0,32000000.0,37000000.0,35700000.0,32300000.0,31900000.0,30700000.0,29600000.0,23100000.0
,EBITDA,103000000.0,408000000.0,352300000.0,334300000.0,318900000.0,269200000.0,272200000.0,247100000.0,213300000.0,194800000.0,179700000.0,174100000.0,185200000.0,179800000.0,153700000.0,118300000.0,82400000.0,94500000.0,69600000.0,76200000.0,72700000.0,102100000.0,97000000.0,93800000.0,84000000.0,77900000.0,70200000.0
,EBITDARatio,0.0479962721342032,0.221751182129464,0.205135670199138,0.209055093490088,0.211318004108409,0.192313187598228,0.191501336710286,0.180575855013154,0.168430195830701,0.163381699236769,0.16266859780936,0.164914274888699,0.176196365712111,0.176257229683364,0.168290813533341,0.169072459625554,0.152141802067947,0.192582025677603,0.165832737669764,0.191987906273621,0.169030458033016,0.217650820720529,0.215699355125639,0.207292817679558,0.18308631211857,0.188665536449504,0.19227608874281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-1000000.0,304600000.0,247900000.0,237600000.0,228200000.0,179300000.0,182200000.0,161900000.0,136400000.0,119100000.0,106500000.0,106000000.0,124600000.0,123200000.0,101000000.0,70900000.0,49200000.0,61500000.0,36600000.0,44200000.0,35700000.0,66400000.0,64700000.0,61900000.0,53300000.0,48300000.0,47100000.0
,operatingIncomeRatio,-0.000465983224603914,0.165552475678026,0.144346104576686,0.148583578262773,0.151215956530382,0.128089727103872,0.128183481074996,0.118313358667056,0.107706885660139,0.099890967038497,0.0964062641441115,0.100407312683528,0.118542479307392,0.120772473286933,0.110587977663418,0.101329141060454,0.0908419497784343,0.125331159567964,0.087205146533238,0.111363063744016,0.08300395256917,0.141547644425496,0.143873693573493,0.136795580110497,0.11617262423714,0.116977476386534,0.129005751848809
,totalOtherIncomeExpensesNet,12000000.0,-8100000.0,-900000.0,-8700000.0,-31400000.0,-51500000.0,-200000.0,300000.0,-12900000.0,-9500000.0,-15800000.0,-8500000.0,-500000.0,-25800000.0,-8900000.0,-15000000.0,900000.0,11300000.0,-8600000.0,-900000.0,-19300000.0,1300000.0,-29500000.0,1600000.0,-19100000.0,2400000.0,-1200000.0
,incomeBeforeTax,401000000.0,291800000.0,240700000.0,222400000.0,189800000.0,116100000.0,169000000.0,147100000.0,108600000.0,92700000.0,74500000.0,83100000.0,109500000.0,86400000.0,84500000.0,45200000.0,41200000.0,47000000.0,17200000.0,27800000.0,3100000.0,57100000.0,27900000.0,57700000.0,27200000.0,42600000.0,40700000.0
,incomeBeforeTaxRatio,0.18685927306617,0.158595575846513,0.140153720740654,0.139078231505222,0.125770326684779,0.0829404200600086,0.118896862248487,0.107497807658579,0.08575489576753,0.0777488887025078,0.0674391237440029,0.07871554418869,0.104176576919418,0.084697578668758,0.0925216248768203,0.0645991139059597,0.0760709010339734,0.0957815365803954,0.0409816535620681,0.0700428319475939,0.00720762613345734,0.121722447239395,0.0620413609072715,0.127513812154696,0.0592850915431561,0.103172681036571,0.11147630786086
,incomeTaxExpense,72000000.0,59000000.0,41400000.0,80900000.0,54400000.0,26300000.0,47200000.0,40200000.0,32700000.0,23500000.0,13600000.0,13500000.0,23700000.0,17200000.0,24600000.0,-400000.0,11100000.0,16700000.0,4100000.0,8600000.0,1500000.0,18400000.0,21200000.0,13300000.0,10800000.0,13900000.0,13400000.0
,netIncome,346000000.0,241700000.0,206900000.0,150700000.0,143600000.0,95600000.0,127100000.0,112300000.0,80700000.0,75500000.0,65300000.0,72600000.0,86000000.0,70700000.0,67100000.0,45600000.0,19400000.0,31900000.0,18400000.0,-5200000.0,1600000.0,38700000.0,6700000.0,44400000.0,16400000.0,28700000.0,27300000.0
,netIncomeRatio,0.161230195712954,0.131365835099734,0.120472807732619,0.0942405102870365,0.0951560532767875,0.0682954707815402,0.0894188827916139,0.0820666471791874,0.0637239418825016,0.0633229891805754,0.0591110708789717,0.0687695368002273,0.0818190467129674,0.0693069306930693,0.0734698346654987,0.0651707874803487,0.0358197932053176,0.0650091705726513,0.0438408386943055,-0.0131015369110607,0.00372006510113927,0.0824984011937753,0.0148988214365132,0.098121546961326,0.035745422842197,0.0695083555340276,0.0747740345110929
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
