date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,revenue,1943655000.0,2265803000.0,2157323000.0,1939322000.0,1728332000.0,2014214000.0,2203140000.0,2429160000.0,2145286000.0,1830413000.0,1436891000.0,1774119000.0,1187527000.0,1042886000.0,895970000.0,788516000.0,691806000.0,553809000.0
,costOfRevenue,1383603000.0,1483524000.0,1394822000.0,1328285000.0,1185583000.0,1431242000.0,1481690000.0,1400567000.0,1290494000.0,1204410000.0,916088000.0,1056254000.0,857765000.0,753336000.0,652901000.0,608744000.0,553964000.0,424783000.0
,grossProfit,560052000.0,782279000.0,762501000.0,611037000.0,542749000.0,582972000.0,721450000.0,1028593000.0,854792000.0,626003000.0,520803000.0,717865000.0,329762000.0,289550000.0,243069000.0,179772000.0,137842000.0,129026000.0
,grossProfitRatio,0.288143729211203,0.345254640407838,0.353447768368483,0.315077640536229,0.314030521913614,0.289429027898724,0.327464437121563,0.423435673236839,0.398451302064154,0.342000958253684,0.362451292408401,0.404631820075204,0.277688002041217,0.277643002207336,0.271291449490496,0.22798776435735,0.199249500582533,0.232979240135137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,119548000.0,130172000.0,104383000.0,92715000.0,104044000.0,101999000.0,108994000.0,106442000.0,91760000.0,78819000.0,78895000.0,85709000.0,70273000.0,69662000.0,61878000.0,55705000.0,50590000.0,46343000.0
,SellingAndMarketingExpenses,3911000.0,3078000.0,1635000.0,1511000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,600000.0,1458000.0,351000.0,-657000.0,185000.0,-2935000.0,154000.0,1087000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
