date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-243638000.0,99006000.0,168295000.0,160266000.0,60637000.0,101904000.0,202211000.0,149208000.0,96922000.0,133622000.0,87629000.0,139659000.0,127640000.0,51577000.0,74609000.0,18653000.0,51219000.0,34640000.0
,depreciationAndAmortization,261926000.0,237129000.0,199805000.0,203724000.0,141651000.0,86174000.0,73022000.0,60563000.0,50267000.0,48112000.0,31504000.0,22559000.0,20588000.0,15719000.0,12081000.0,11100000.0,7376000.0,7284000.0
,deferredIncomeTax,-29342000.0,19667000.0,31334000.0,-888000.0,19499000.0,37359000.0,46111000.0,26956000.0,35907000.0,21749000.0,21536000.0,59558000.0,41967000.0,95117000.0,34409000.0,4228000.0,-809000.0,1165000.0
,stockBasedCompensation,63863000.0,45811000.0,33887000.0,30487000.0,19742000.0,12420000.0,13790000.0,9429000.0,11016000.0,9367000.0,7425000.0,5736000.0,5216000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,589126000.0,100805000.0,-139077000.0,-344712000.0,-441798000.0,154163000.0,5963000.0,-232645000.0,-173362000.0,-178337000.0,-195511000.0,-185924000.0,187993000.0,-318225000.0,-47302000.0,-127368000.0,-107548000.0,-40118000.0
,accountsReceivables,592947000.0,0.0,0.0,-542017000.0,-436071000.0,199717000.0,55883000.0,-194418000.0,-86763000.0,-198417000.0,-236100000.0,-159623000.0,362444000.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-183708000.0,139187000.0,-3588000.0,194542000.0,75807000.0,-33201000.0,-29154000.0,-6365000.0,-41040000.0,29274000.0,41919000.0,34053000.0,-156463000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,761994000.0,792432000.0,1086555000.0,2074921000.0,1417876000.0,1359889000.0,1606060000.0,1484297000.0,1181456000.0,210397000.0,173819000.0,-40389000.0,-42755000.0,727607000.0,521268000.0,-22593000.0,-32105000.0,-2780000.0
,otherNonCashItems,25705000.0,38802000.0,32373000.0,807000.0,16675000.0,23413000.0,0.0,0.0,0.0,150277000.0,0.0,60857000.0,45021000.0,26649000.0,20967000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,857019000.0,663171000.0,400229000.0,132949000.0,-151131000.0,445100000.0,296413000.0,39551000.0,71811000.0,51168000.0,-10550000.0,-33167000.0,339179000.0,-92089000.0,60449000.0,-40942000.0,-40615000.0,12669000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-80471000.0,-102860000.0,-87152000.0,-79276000.0,-61799000.0,-63491000.0,-58133000.0,-39455000.0,-28036000.0,-25145000.0,-28944000.0,-17848000.0,-16111000.0,-16624000.0,-12474000.0,-11017000.0,-11039000.0,-11700000.0
,acquisitionsNet,-220704000.0,-882000000.0,-163000000.0,-84000000.0,-1093000000.0,-63000000.0,-843000000.0,-11000000.0,-402000000.0,-8000000.0,-340000000.0,0.0,-42000000.0,-41000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-6459000.0,-5567000.0,-1768000.0,-474000.0,-5853000.0,-349000.0,-2837000.0,-1802000.0,-864000.0,-8509000.0,-150000.0,-160000.0,-4301000.0,-2518000.0,-2154000.0,-3637000.0,-1172000.0,-19183000.0
,salesMaturitiesOfInvestments,181000.0,230000.0,266000.0,631000.0,495000.0,594000.0,337000.0,1192000.0,1551000.0,841000.0,1654000.0,2201000.0,1255000.0,1123000.0,17170000.0,425000.0,758000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255000.0,-1922000.0,-86784000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-329086000.0,-990614000.0,-254175000.0,-163501000.0,-1160439000.0,-126658000.0,-904034000.0,-51342000.0,-429824000.0,-40504000.0,-367434000.0,-15807000.0,-60814000.0,-60747000.0,-84242000.0,-14104000.0,-10107000.0,-30840000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-455047000.0,-1374671000.0,-1805559000.0,-4273991000.0,-4183374000.0,-2430053000.0,-2126571000.0,-686416000.0,-27753000.0,-420984000.0,-2269000.0,-42600000.0,-36975000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,90000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3459000.0,2229000.0,388000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-22011000.0,-19765000.0,-17911000.0,-11288000.0,-2551000.0,-19833000.0,-7732000.0,-41256000.0,-39899000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-305887000.0,-25279000.0,0.0
,otherFinancingActivites,-413113000.0,162809000.0,-38573000.0,162540000.0,184284000.0,-155105000.0,-116289000.0,181890000.0,186780000.0,115239000.0,95964000.0,-116859000.0,-60386000.0,206415000.0,56761000.0,155821000.0,102542000.0,27924000.0
,netCashUsedProvidedByFinancingActivities,-179256000.0,749773000.0,-102728000.0,359385000.0,1216081000.0,-319538000.0,526707000.0,179242000.0,529564000.0,-2583000.0,356339000.0,-94883000.0,-138202000.0,160780000.0,13859000.0,68234000.0,60394000.0,25866000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
