Date,2018-12-31,2017-12-31
Depreciation & Amortization,3066000.0,1216000.0
Stock-based compensation,1317000.0,753000.0
Operating Cash Flow,5572000.0,290000.0
Capital Expenditure,-7852000.0,-5158000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-7852000.0,-5158000.0
Issuance (repayment) of debt,-645000.0,16339000.0
Issuance (buybacks) of shares,76000.0,65000.0
Dividend payments,0.0,0.0
Financing Cash Flow,-591000.0,16404000.0
Effect of forex changes on cash,-2000.0,4000.0
Net cash flow / Change in cash,-2873000.0,11540000.0
Free Cash Flow,-2280000.0,-4868000.0
Net Cash/Marketcap,0.0176,0.0176
