Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,736000000.0,676000000.0,643000000.0,554000000.0,491000000.0
Stock-based compensation,,,,,
Operating Cash Flow,1768000000.0,2058000000.0,2109000000.0,2115000000.0,1833000000.0
Capital Expenditure,-725000000.0,-756000000.0,-975000000.0,-2061000000.0,-2097000000.0
Acquisitions and disposals,-244000000.0,-305000000.0,-102000000.0,-104000000.0,-299000000.0
Investment purchases and sales,-12000000,345000000,128000000,-771000000,32000000
Investing Cash flow,-253000000.0,-486000000.0,-598000000.0,-4317000000.0,-2125000000.0
Issuance (repayment) of debt,-6087000000.0,-3505000000.0,-910000000.0,-5924000000.0,-4323000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-974000000.0,-1720000000.0,-1637000000.0,2400000000.0,161000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,541000000.0,-148000000.0,-126000000.0,198000000.0,-130000000.0
Free Cash Flow,1043000000.0,1302000000.0,1134000000.0,55000000.0,-264000000.0
Net Cash/Marketcap,,,,,
