date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-03-07_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,807764000.0,1213935000.0,1333568000.0,1359019000.0,1221920000.0,1333570000.0,1331421000.0,1091420000.0,1027963000.0,938585000.0,914975000.0,726866000.0,536664000.0,495570000.0,495570000.0,596715000.0,595282000.0,542598000.0,487272000.0,480358000.0,445310000.0,409434000.0,339900000.0,301000000.0,320600000.0,289900000.0,272200000.0,148200000.0,100500000.0,95800000.0,30400000.0,22000000.0,21100000.0,19000000.0,17100000.0,13100000.0,8100000.0
,costOfRevenue,611305000.0,967700000.0,1066642000.0,1074207000.0,968756000.0,1057783000.0,1051438000.0,844399000.0,784854000.0,735461000.0,685395000.0,536275000.0,407067000.0,396462000.0,396462000.0,468761000.0,478441000.0,443099000.0,384614000.0,354736000.0,320462000.0,253681000.0,203000000.0,182000000.0,207000000.0,181500000.0,169200000.0,87100000.0,53700000.0,55700000.0,7000000.0,6600000.0,7600000.0,10300000.0,9600000.0,6900000.0,4800000.0
,grossProfit,196459000.0,246235000.0,266926000.0,284812000.0,253164000.0,275787000.0,279983000.0,247021000.0,243109000.0,203124000.0,229580000.0,190591000.0,129597000.0,99108000.0,99108000.0,127954000.0,116841000.0,99499000.0,102658000.0,125622000.0,124848000.0,155753000.0,136900000.0,119000000.0,113600000.0,108400000.0,103000000.0,61100000.0,46800000.0,40100000.0,23400000.0,15400000.0,13500000.0,8700000.0,7500000.0,6200000.0,3300000.0
,grossProfitRatio,0.243213364299474,0.202840349771611,0.200159271968134,0.209571757274917,0.207185413120335,0.206803542371229,0.210288856792855,0.226329918821352,0.236495866096348,0.21641513554979,0.250913959397798,0.262209265531749,0.241486293099593,0.199987892729584,0.199987892729584,0.214430674610157,0.196278402505031,0.183375169093878,0.210679045789621,0.261517451567373,0.280361995014709,0.380410517934514,0.402765519270374,0.395348837209302,0.354335620711167,0.373922042083477,0.378398236590742,0.412280701754386,0.465671641791045,0.418580375782881,0.769736842105263,0.7,0.639810426540284,0.457894736842105,0.43859649122807,0.473282442748092,0.407407407407407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900000.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66955000.0,74107000.0,68000000.0,55300000.0,57800000.0,68400000.0,59900000.0,35100000.0,29400000.0,41800000.0,9800000.0,12900000.0,10300000.0,4200000.0,3500000.0,2400000.0,2000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,437000.0,-10893000.0,-9881000.0,-2201000.0,-694000.0,-2905000.0,-3853000.0,4964000.0,-1457000.0,0.0,0.0,0.0,0.0,90078000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
