date,,2020-08-31_FY,2019-08-31_FY,2018-08-31_FY,2017-08-31_FY,2016-08-31_FY,2015-08-31_FY,2014-08-31_FY
,revenue,3366503000.0,2563005000.0,1718871000.0,1328367000.0,1040329000.0,745850000.0,588163000.0
,costOfRevenue,2144786000.0,1586014000.0,1090595000.0,860330000.0,736205000.0,655597000.0,501881000.0
,grossProfit,1221717000.0,976991000.0,628276000.0,468037000.0,304124000.0,90253000.0,86282000.0
,grossProfitRatio,0.362903879782671,0.381189658233207,0.365516667626599,0.352340128895102,0.292334444199864,0.121006904873634,0.146697429114038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,871154000.0,691900000.0,368141000.0,261972000.0,290098000.0,166084000.0,125784000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-11291000.0,-8617000.0,-4803000.0,-779000.0,-457000.0,-455000.0,-61000.0
,operatingExpenses,0.0,676465000.0,356114000.0,253098000.0,285815000.0,160835000.0,122158000.0
,costAndExpenses,2977279000.0,2262479000.0,1446709000.0,1113428000.0,1022020000.0,816432000.0,624039000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,197425000.0,130819000.0,85879000.0,78056000.0,72094000.0,57107000.0,33465000.0
,EBITDA,586649000.0,431345000.0,358041000.0,292995000.0,90403000.0,-13475000.0,-2411000.0
,EBITDARatio,0.174260649700891,0.168296589355073,0.208300099309372,0.220567809950112,0.0868984715412144,-0.0180666353824496,-0.00409920379214605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,389224000.0,300526000.0,272162000.0,214939000.0,18309000.0,-70582000.0,-35876000.0
,operatingIncomeRatio,0.115616709683609,0.117255331144496,0.158337653029227,0.16180694040126,0.017599240240347,-0.0946329690956627,-0.0609966964939991
,totalOtherIncomeExpensesNet,13889000.0,8797000.0,16866000.0,12939000.0,348000.0,-455000.0,-61000.0
,incomeBeforeTax,243761000.0,333577000.0,316325000.0,232779000.0,20805000.0,-69229000.0,-34341000.0
,incomeBeforeTaxRatio,0.0724077774473987,0.130150741024696,0.184030680603722,0.175236963881217,0.0199984812496816,-0.0928189314205269,-0.0583868757470293
,incomeTaxExpense,78992000.0,80580000.0,67382000.0,40970000.0,17889000.0,-29317000.0,3775000.0
,netIncome,161005000.0,241099000.0,246969000.0,172050000.0,-36374000.0,-40078000.0,-32886000.0
,netIncomeRatio,0.0478255923134481,0.0940688761824499,0.14368093940732,0.129519929356872,-0.0349639392922816,-0.0537346651471476,-0.055913071716514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.34,1.97100470824374,2.02287361085778,1.64,-2.722333,-2.67186666666667,-2.1924
,EPSDiluted,1.34,1.96927305433484,2.02124131317757,1.64,-2.722333,-0.348504347826087,-0.285965217391304
,weightedAverageShsOut,120158001.0,122322894.0,122088201.0,104839041.0,15000000.0,15000000.0,15000000.0
,weightedAverageShsOutDil,120158001.0,122430457.0,122186796.0,104839041.0,15000000.0,115000000.0,115000000.0
