Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,1995-12,1994-12,1993-12,1992-12,1991-12
Revenue,0.0,0.0,0.0,0.0,61000000.0,52000000.0,71000000.0,75000000.0,74000000.0
Revenue Growth,0.0,0.0,0.0,-1,0.173076923076923,-0.267605633802817,-0.0533333333333333,0.0135135135135135,
Cost of Revenue,-233806000.0,15796000.0,84032000.0,-101627000.0,32000000.0,22000000.0,37000000.0,42000000.0,40000000.0
Gross Profit,233806000.0,-15796000.0,-84032000.0,101627000.0,30000000.0,31000000.0,34000000.0,33000000.0,34000000.0
R&D Expenses,0.0,0.0,0.0,0.0,,,,,
SG&A Expense,9236000.0,10677000.0,8722000.0,8778000.0,26000000.0,23000000.0,34000000.0,27000000.0,28000000.0
Operating Expenses,256801000.0,7815000.0,-63189000.0,124510000.0,28000000.0,27000000.0,39000000.0,30000000.0,32000000.0
Operating Income,181261000.0,16391000.0,-4765000.0,425609000.0,2000000.0,4000000.0,-5000000.0,3000000.0,2000000.0
Interest Expense,114616000.0,0.0,0.0,0.0,,,,,
Earnings before Tax,0.0,16391000.0,-4765000.0,425609000.0,3000000.0,5000000.0,-6000000.0,2000000.0,1000000.0
Income Tax Expense,0.0,0.0,0.0,0.0,1000000.0,2000000.0,2000000.0,1000000.0,1000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,,,,,
Net Income,181261000.0,16391000.0,-4765000.0,425609000.0,2000000.0,3000000.0,-8000000.0,2000000.0,1000000.0
Preferred Dividends,20812000.0,20812000.0,20813000.0,20812000.0,,,,,
Net Income Com,181261000.0,16391000.0,-4765000.0,425609000.0,2000000.0,3000000.0,-8000000.0,2000000.0,1000000.0
EPS,1.05,-0.04,-0.17,2.5,0.38,0.60,-1.39,0.27,0.11
EPS Diluted,1.05,-0.04,-0.17,2.5,0.38,0.60,-1.39,0.27,0.11
Weighted Average Shs Out,151757000.0,0.0,0.0,0.0,5000000.0,5000000.0,6000000.0,6000000.0,5000000.0
Weighted Average Shs Out (Dil),151757000.0,0.0,0.0,0.0,5000000.0,5000000.0,6000000.0,6000000.0,5000000.0
Dividend per Share,1.14769664661,0.0,0.0,0.0,,,,,
Gross Margin,0.0,0.0,0.0,0.0,0.49180327868852,0.59615384615385,0.47887323943662,0.44,0.45945945945946
EBITDA Margin,0.0,0.0,0.0,0.0,0.065573770491803,0.15384615384615,0,0.08,0.081081081081081
EBIT Margin,0.0,0.0,0.0,0.0,0.049180327868852,0.096153846153846,-0.084507042253521,0.04,0.027027027027027
Profit Margin,0.0,0.0,0.0,0.0,0.032786885245902,0.057692307692308,-0.11267605633803,0.026666666666667,0.013513513513514
Free Cash Flow margin,0.0,0.0,0.0,0.0,,,,,
EBITDA,144918000.0,-50228000.0,-77713000.0,393342000.0,4000000.0,8000000.0,0000000.0,6000000.0,6000000.0
EBIT,181261000.0,16391000.0,-4765000.0,425609000.0,3000000,5000000,-6000000,3000000,2000000
Consolidated Income,181261000.0,16391000.0,-4765000.0,425609000.0,2000000.0,3000000.0,-8000000.0,2000000.0,1000000.0
Earnings Before Tax Margin,0.0,0.0,0.0,0.0,0.049180327868852,0.096153846153846,-0.084507042253521,0.026666666666667,0.013513513513514
Net Profit Margin,0.0,0.0,0.0,0.0,0.032786885245902,0.057692307692308,-0.11267605633803,0.026666666666667,0.013513513513514
