Date,2018-12-31,2017-12-31
Depreciation & Amortization,2489655.1724,1965186.0744
Stock-based compensation,20010344.8276,31522208.8836
Operating Cash Flow,-159783908.046,-140427370.9484
Capital Expenditure,-4009195.4023,-2560624.2497
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-4175862.069,-3098439.3758
Issuance (repayment) of debt,-2579310.3448,1867947.1789
Issuance (buybacks) of shares,248258620.6897,144057623.0492
Dividend payments,0.0,0.0
Financing Cash Flow,245113793.1034,145925570.2281
Effect of forex changes on cash,348275.8621,-2472989.1957
Net cash flow / Change in cash,81154022.9885,2399759.904
Free Cash Flow,-163793103.4483,-142987995.1981
Net Cash/Marketcap,,
