Date,2017-12,2016-12,2015-12,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,000000.0,0000000.0,3000000.0,000000.0,0.0,000000.0,0.0,0.0
Revenue Growth,,-1,1,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,,,,,0.0,,0.0,0.0
Gross Profit,000000.0,0000000.0,3000000.0,000000.0,0.0,000000.0,0.0,0.0
R&D Expenses,29000000.0,47000000.0,31000000.0,22000000.0,0.0,22000000.0,0.0,85281000.0
SG&A Expense,8000000.0,11000000.0,8000000.0,7000000.0,0.0,7000000.0,0.0,7857000.0
Operating Expenses,37000000.0,58000000.0,38000000.0,28000000.0,0.0,28000000.0,0.0,93138000.0
Operating Income,-37000000.0,-57000000.0,-35000000.0,-28000000.0,0.0,-28000000.0,0.0,-93138000.0
Interest Expense,000000.0,000000.0,000000.0,1000000.0,0.0,3000000.0,0.0,0.0
Earnings before Tax,-27000000.0,-56000000.0,-35000000.0,-30000000.0,0.0,-31000000.0,0.0,0.0
Income Tax Expense,,,,,0.0,,0.0,0.0
Net Income - Non-Controlling int,,,,,0.0,,0.0,0.0
Net Income - Discontinued ops,,,,,0.0,,0.0,0.0
Net Income,-27000000.0,-56000000.0,-35000000.0,-30000000.0,0.0,-31000000.0,0.0,-95335000.0
Preferred Dividends,,,,,0.0,,0.0,0.0
Net Income Com,-27000000.0,-56000000.0,-35000000.0,-30000000.0,0.0,-31000000.0,0.0,-95335000.0
EPS,-2.86,-12.88,-7.92,-10.88,0.0,-13.52,0.0,-2.55
EPS Diluted,-2.86,-12.88,-7.92,-10.88,0.0,-13.52,0.0,-2.55
Weighted Average Shs Out,10000000.0,5000000.0,4000000.0,3000000.0,0.0,2000000.0,0.0,37417775.0
Weighted Average Shs Out (Dil),10000000.0,5000000.0,4000000.0,3000000.0,0.0,2000000.0,0.0,37417775.0
Dividend per Share,,,,,0.0,,0.0,0.0
Gross Margin,,,1,,0.0,,0.0,0.0
EBITDA Margin,,,-11.666666666667,,0.0,,0.0,0.0
EBIT Margin,,,-11.666666666667,,0.0,,0.0,0.0
Profit Margin,,,-11.666666666667,,0.0,,0.0,0.0
Free Cash Flow margin,,,,,0.0,,0.0,0.0
EBITDA,-36000000.0,-55000000.0,-35000000.0,-28000000.0,0.0,-28000000.0,0.0,-92404000.0
EBIT,-27000000,-56000000,-35000000,-29000000,0.0,-28000000,0.0,-93138000.0
Consolidated Income,-27000000.0,-56000000.0,-35000000.0,-30000000.0,0.0,-31000000.0,0.0,-95335000.0
Earnings Before Tax Margin,,,-11.666666666667,,0.0,,0.0,0.0
Net Profit Margin,,,-11.666666666667,,0.0,,0.0,0.0
