date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-66150000.0,-77187000.0,-38924000.0,-36957000.0,-37177000.0,-14858000.0,-11072000.0
,depreciationAndAmortization,2564000.0,2495000.0,527000.0,406000.0,317000.0,247000.0,258000.0
,deferredIncomeTax,1438000.0,0.0,-658000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,7899000.0,8353000.0,6919000.0,4241000.0,2130000.0,99000.0,42000.0
,changeInWorkingCapital,165460000.0,-1440000.0,2953000.0,31583000.0,65729000.0,2517000.0,1260000.0
,accountsReceivables,-990000.0,0.0,-2771000.0,-1816000.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,309000.0,-3000000.0,4430000.0,91000.0,-115000.0,898000.0,179000.0
,otherWorkingCapital,275365000.0,109905000.0,111345000.0,108392000.0,76809000.0,11080000.0,8563000.0
,otherNonCashItems,159000.0,29000.0,0.0,0.0,4719000.0,83000.0,1769000.0
,netCashProvidedByOperatingActivites,-72484000.0,-41527000.0,-49947000.0,3872000.0,-29972000.0,-14385000.0,-7743000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-471000.0,-967000.0,-486000.0,-666000.0,-379000.0,-399000.0,-299000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-280027000.0,-166936000.0,-71060000.0,-39546000.0,-73169000.0,-7865000.0,0.0
,salesMaturitiesOfInvestments,189533000.0,114193000.0,73759000.0,56035000.0,14188000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-90965000.0,-53710000.0,2213000.0,15823000.0,-59328000.0,-8264000.0,-299000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-10524000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,255365000.0,34492000.0,23181000.0,64547000.0,83648000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-14000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,247626000.0,46036000.0,24115000.0,65554000.0,106307000.0,17419000.0,9003000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,175000.0,-26000.0,-177000.0,146000.0,22000.0,-39000.0,-97000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,84352000.0,-49227000.0,-23796000.0,85395000.0,17029000.0,-5269000.0,864000.0
,cashAtEndOfPeriod,117818000.0,33466000.0,82693000.0,106489000.0,21084000.0,4055000.0,9324000.0
,cashAtBeginningOfPeriod,33466000.0,82693000.0,106489000.0,21094000.0,4055000.0,9324000.0,8460000.0
,operatingCashFlow,-72484000.0,-41527000.0,-49947000.0,3872000.0,-29972000.0,-14385000.0,-7743000.0
,capitalExpenditure,-471000.0,-967000.0,-486000.0,-666000.0,-379000.0,-399000.0,-299000.0
,freeCashFlow,-72955000.0,-42494000.0,-50433000.0,3206000.0,-30351000.0,-14784000.0,-8042000.0
