date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-32667000.0,87211000.0,76623000.0,109658000.0,37172000.0,44305000.0,55139000.0,44140000.0,28836000.0,8926000.0,-25460000.0,-11943000.0,43296000.0,64626000.0,32714000.0,28160000.0,-13737000.0,-46051000.0,-8221000.0,3300000.0
,depreciationAndAmortization,267317000.0,276500000.0,236366000.0,193245000.0,189697000.0,186457000.0,166514000.0,138903000.0,116513000.0,99398000.0,92266000.0,99293000.0,117677000.0,105655000.0,87354000.0,62604000.0,56154000.0,61553000.0,0.0,0.0
,deferredIncomeTax,-9116000.0,27013000.0,26695000.0,-50535000.0,21578000.0,30651000.0,36795000.0,16702000.0,12973000.0,2697000.0,-13227000.0,-5963000.0,24428000.0,38876000.0,8968000.0,645000.0,0.0,-5717000.0,0.0,0.0
,stockBasedCompensation,4362000.0,4670000.0,4214000.0,3526000.0,3037000.0,2655000.0,2598000.0,2618000.0,1862000.0,1327000.0,1039000.0,726000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,485645000.0,-40973000.0,-285624000.0,329658000.0,28011000.0,35720000.0,-137013000.0,53752000.0,-86983000.0,-15570000.0,-20689000.0,-24860000.0,189112000.0,-99051000.0,88681000.0,-36379000.0,-316000.0,-56869000.0,0.0,0.0
,accountsReceivables,4018000.0,0.0,-17761000.0,-40012000.0,4154000.0,13566000.0,-35224000.0,6503000.0,-39808000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-9521000.0,-19637000.0,-48230000.0,-31771000.0,4267000.0,-14517000.0,-66723000.0,-67754000.0,-43137000.0,-21561000.0,-6762000.0,23182000.0,-28064000.0,-57431000.0,-69949000.0,-44159000.0,-22263000.0,-4980000.0,0.0,0.0
,accountsPayables,31042000.0,-43358000.0,6994000.0,50349000.0,-27345000.0,13436000.0,-14438000.0,31659000.0,-26886000.0,4569000.0,29571000.0,-64801000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,406252000.0,-79393000.0,-38420000.0,247204000.0,-82454000.0,-110465000.0,-146185000.0,-9172000.0,-62924000.0,24059000.0,39629000.0,60318000.0,85178000.0,-103934000.0,-4883000.0,-93564000.0,-57185000.0,-56869000.0,0.0,0.0
,otherNonCashItems,14235000.0,13167000.0,1560000.0,1320000.0,1220000.0,1204000.0,1102000.0,1325000.0,1555000.0,3392000.0,-9895000.0,-12915000.0,28709000.0,3877000.0,43711000.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,286016000.0,319218000.0,247211000.0,226199000.0,176979000.0,206620000.0,158318000.0,138652000.0,41023000.0,60385000.0,17938000.0,72901000.0,120467000.0,104094000.0,117729000.0,35904000.0,5639000.0,19344000.0,25319000.0,30115000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-135027000.0,-352765000.0,-451560000.0,-256724000.0,-202604000.0,-205569000.0,-401726000.0,-296944000.0,-305590000.0,-145668000.0,-77901000.0,-34516000.0,-150458000.0,-212009000.0,-242776000.0,-171063000.0,-77498000.0,-33071000.0,0.0,0.0
,acquisitionsNet,0.0,-107000000.0,-196000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000000.0,-100000000.0,-57000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87028000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18694000.0,-37846000.0
,netCashUsedForInvestingActivites,21091000.0,-325903000.0,-526240000.0,-153075000.0,-114410000.0,-101759000.0,-296643000.0,-179590000.0,-212990000.0,-80928000.0,-29669000.0,37900000.0,-36675000.0,-188647000.0,-191988000.0,-83075000.0,-11753000.0,20908000.0,-18694000.0,-37846000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2861179000.0,-1411858000.0,-1266300000.0,-2009740000.0,-988564000.0,-1058215000.0,-1078350000.0,-1114418000.0,-1148355000.0,-541978000.0,-1356000.0,-612932000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257000.0,0.0,0.0,0.0,0.0,207018000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-1405000.0,-1684000.0,-1350000.0,-783000.0,-561000.0,-470000.0,-1467000.0,-890000.0,-694000.0,-554000.0,-212000.0,-110000.0,-42577000.0,-13431000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-39595000.0,-39388000.0,-39274000.0,-39172000.0,-39066000.0,-37114000.0,-18325000.0,-855000.0,-244381000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-52348000.0,-559000.0,-97000.0,-17278000.0,0.0,-725000.0,-909000.0,-426000.0,-2934000.0,0.0,-2888000.0,0.0,-44000.0,-841000.0,-9082000.0,-92000.0,-887000.0,-1089000.0,-7549000.0,10426000.0
